Image_URL,Barcode,CountryName,MinimumDate,MaximumDate,collectorName1,verbatimCollector1,HUH_BotanistID_1,Top_Primary_tested_name,Top_Primary_master_name,Top_Primary_master_irn,Top_Primary_id_match,Top_Primary_name_match,Top_Primary_FM_Country_match,Top_Primary_FM_Date_match,Top_Primary_FM_Team_match,Top_Primary_HUH_Country_match,Top_Primary_HUH_Date_match,Top_Primary_HUH_Team_match,Top_Primary_score,collectorName2,verbatimCollector2,HUH_BotanistID_2,Top_Sec2_tested_name,Top_Sec2_master_name,Top_Sec2_master_irn,Top_Sec2_id_match,Top_Sec2_name_match,Top_Sec2_FM_Country_match,Top_Sec2_FM_Date_match,Top_Sec2_FM_Team_match,Top_Sec2_HUH_Country_match,Top_Sec2_HUH_Date_match,Top_Sec2_HUH_Team_match,Top_Sec2_score,collectorName3,verbatimCollector3,HUH_BotanistID_3,Top_Sec3_tested_name,Top_Sec3_master_name,Top_Sec3_master_irn,Top_Sec3_id_match,Top_Sec3_name_match,Top_Sec3_FM_Country_match,Top_Sec3_FM_Date_match,Top_Sec3_FM_Team_match,Top_Sec3_HUH_Country_match,Top_Sec3_HUH_Date_match,Top_Sec3_HUH_Team_match,Top_Sec3_score,collectorName4,verbatimCollector4,HUH_BotanistID_4,Top_Sec4_tested_name,Top_Sec4_master_name,Top_Sec4_master_irn,Top_Sec4_id_match,Top_Sec4_name_match,Top_Sec4_FM_Country_match,Top_Sec4_FM_Date_match,Top_Sec4_FM_Team_match,Top_Sec4_HUH_Country_match,Top_Sec4_HUH_Date_match,Top_Sec4_HUH_Team_match,Top_Sec4_score,collectorName5,verbatimCollector5,HUH_BotanistID_5,Top_Sec5_tested_name,Top_Sec5_master_name,Top_Sec5_master_irn,Top_Sec5_id_match,Top_Sec5_name_match,Top_Sec5_FM_Country_match,Top_Sec5_FM_Date_match,Top_Sec5_FM_Team_match,Top_Sec5_HUH_Country_match,Top_Sec5_HUH_Date_match,Top_Sec5_HUH_Team_match,Top_Sec5_score,verbatimCollector6,Unnamed: 0,Multimedia_IRN,Taxon,Taxon_IRN,Powo_Id,CollectorNumber,CatologueNumber,VerbatimCollectionDate,Ambiguous,Non_Ambiguous,Years,DateValidation,Locality_IRN,StateProvinceTerritory,Municipality,PreciseLocality,AltitudeMin,AltitudeMax,AltitudeUnits,VerbatimAltitude,LatitudeDMS,LongitudeDMS,Habitat,PlantDescription,HUH_UUID_1,HUH_UUID_2,HUH_UUID_3,HUH_UUID_4,HUH_UUID_5,verbatimCollector7,verbatimCollector8
http://fm-digital-assets.fieldmuseum.org/2818/054/V0616140F.jpg,V0616140F,Panama,7 Jan 1987,,"Garwood, Nancy Carol",Nancy G. Garwood,106589,"Nancy G. Garwood (Garwood, Nancy Carol)",Nancy C. Garwood (HUH),58847,True|106589,True,True|Panama,True,False,False,False,False|No-team-data,Name|ID|Country|Date,,Allen Herre,,Allen Herre (nan),,,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,NoMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2818054,Ficus americana,97325,,1961 A,2001931,"January 7, 1987",,"January 7, 1987",1987,In Range,560,Panamá,,"Barro Colorado Island; Termite House, end of Drayton",,,,,,,,Figs red,76bf1669-1f02-4423-8cdc-b1c9243ccc90,,,,,,
http://fm-digital-assets.fieldmuseum.org/2817/991/V0616141F.jpg,V0616141F,Panama,4 Apr 1988,,"Garwood, Nancy Carol",Nancy G. Garwood,106589,"Nancy G. Garwood (Garwood, Nancy Carol)",Nancy C. Garwood (HUH),58847,True|106589,True,True|Panama,True,False,False,False,False|No-team-data,Name|ID|Country|Date,,Allen Herre,,Allen Herre (nan),,,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,NoMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2817991,Ficus americana,97325,,2310 A,2002097,"April 4, 1988",,"April 4, 1988",1988,In Range,4559,Colón,,Shoreline of Panama Canal; Juan Gallegos Island,,,,,,,,Fruit red,76bf1669-1f02-4423-8cdc-b1c9243ccc90,,,,,,
http://fm-digital-assets.fieldmuseum.org/2817/977/V0616142F.jpg,V0616142F,Panama,16 Aug 1985,,"Garwood, Nancy Carol",Nancy G. Garwood,106589,"Nancy G. Garwood (Garwood, Nancy Carol)",Nancy C. Garwood (HUH),58847,True|106589,True,True|Panama,True,False,False,False,False|No-team-data,Name|ID|Country|Date,,A. Herre,,A. Herre (nan),A. Herrera (HUH),127601,False|Unlisted,True,False,True,False,False,False,False|No-team-data,Name|Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2817977,Ficus americana,97325,,1471 A,1990265,"August 16, 1985",,"August 16, 1985",1985,In Range,560,Panamá,,Barro Colorade Island; Fuertes Cove,,,,,,,,"Strangling fig; fruit red, juicy when ripe",76bf1669-1f02-4423-8cdc-b1c9243ccc90,,,,,,
http://fm-digital-assets.fieldmuseum.org/2817/968/V0616143F.jpg,V0616143F,Panama,19 May 1971,,"Proctor, George Richardson",George R. Proctor,101316,"George R. Proctor (Proctor, George Richardson)",G. R. Proctor (FM),568,True|101316,True,True|Panama,True,False|No-co-collectors,False,True|Both,False|No-co-collectors,Name|ID|Country|Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2817968,Ficus americana,97325,,31996,2063218,"May 19, 1971",,"May 19, 1971",1971,In Range,319,Chiriquí,Boquete,Boquete,3500.0,3800.0,Feet,,,,,Spreading tree 18 m. high; figs pink.,57f6cd2a-1f2e-4186-858e-d07c3609ef5d,,,,,,
http://fm-digital-assets.fieldmuseum.org/2817/958/V0616144F.jpg,V0616144F,Mexico,1 Jun 1939,6 Jun 1939,E. Matuda,E. Matuda,101715,E. Matuda (E. Matuda),E. Matuda (FM),27166,False|Unlisted_M,True,True|Mexico,True,False|No-co-collectors,True|Mexico,True|Both,False|No-co-collectors,Name|Country|Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2817958,Ficus aurea,31611,,3250,1027536,JUN 1-6. 39,,JUN 1-6. 39,1939,In Range,4350,Tabasco,Balancán,La Palma. Balancan,,,,,,,,"Tree, 20 m. high, 60 cm. diam. River side. ",2ea3199c-1f49-418d-b289-d0e6472bd741,,,,,,
http://fm-digital-assets.fieldmuseum.org/2818/087/V0616145F.jpg,V0616145F,Mexico,21 Sep 1990,,,David Garrido,,David Garrido (nan),,,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,NoMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2818087,Ficus aurea,31611,,13,2186528,21/09/1990,,21/09/1990,1990,Collector Not Found,4214,Chiapas,Tuxtla Gutiérrez,Km 8 carretera Tuxtla Gutierrez Berriosabal. Tuxtla Gutierrez,,,,,,,"Acahual, secundaria, clima calido subhumedo, asociada a otras especies de Ficus y leguminosas. ","Arbol, perenne, frecuente, 10 m, frutos pequenos verdes sesiles. ",,,,,,,
http://fm-digital-assets.fieldmuseum.org/2818/044/V0616146F.jpg,V0616146F,Mexico,11 Jan 1926,,,S. Juzepczuk,,S. Juzepczuk (nan),Sergei V. Juzepczuk (HUH),68209,False|Unlisted,True,True|Mexico,True,False|No-co-collectors,False,False,False|No-co-collectors,Name|Country|Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KMH notes,2818044,Ficus aurea,31611,,1470,676056,1926.11/I,,1926.11/I,1926,In Range,4214,Chiapas,Tuxtla Gutiérrez,Tuxtla Gutierrez,,,,,,,,,,,,,,,
http://fm-digital-assets.fieldmuseum.org/2817/998/V0616147F.jpg,V0616147F,Mexico,3 Nov 1979,,S. Avendaño Reyes,S. Avendano R.,108297,S. Avendano R.  (S. Avendaño Reyes),Sergio Avendaño Reyes (HUH),69675,True|108297,True,True|Mexico,True,False|No-co-collectors,False,False,False|No-co-collectors,Name|ID|Country|Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2817998,Ficus aurea,31611,,573,1953166,3 Nov 1979,,3 Nov 1979,1979,In Range,4361,Veracruz,Huatusco,Mun Huatusco. Barranco al 0 de Capulapa.,800.0,,Metres,,19 06 N,96 54 W,"Encinar perturbado, primario. Ladera cerca de un rio. Suelo calizo arcilloso. ",Abundancia regular. Arbol 25 m.; con latex blanco,65a5fda3-6726-4566-864d-d9dc5bcb3c68,,,,,,
http://fm-digital-assets.fieldmuseum.org/2818/036/V0616148F.jpg,V0616148F,Mexico,8 Apr 1981,,G. Castillo-Campos,G. Castillo C.,128662,G. Castillo C.  (G. Castillo-Campos),Gonzalo Castillo Campos (HUH),34854,True|128662,True,True|Mexico,True,True|1,False,False,False|No-team-data,Name|ID|Country|Date|Team,,F. Vasquez,,F. Vasquez (nan),F. Vasquez B. (HUH),205529,False|Unlisted,True,True|Mexico,True,True|1,False,False,False|No-team-data,Name|Country|Date|Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2818036,Ficus aurea,31611,,1416,1902237,8 Apr 1981,,8 Apr 1981,1981,In Range,4361,Veracruz,Alto Lucero,Alto Lucero. Rancho Nuevo entre Plan de las Hayas y Tierra Blanca.,1200.0,,Metres,,19 46 N,96 41 W,"Bosque caducifolio, secundario. Huedo; suelo arcilloso amarillento","Abundante. Arbol 40 m.; latex blanco.; N.v. ""Higuera""; Usos: fruto comestible.",288caa61-bc70-40f2-bbc3-67ac813c9728,,,,,,
http://fm-digital-assets.fieldmuseum.org/2817/993/V0616149F.jpg,V0616149F,Mexico,20 Aug 1985,,,Miguel Chazaro,,Miguel Chazaro (nan),,,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,NoMatch,,Cabo Gutierrez,,Cabo Gutierrez (nan),,,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,NoMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2817993,Ficus aurea,31611,,3667,1991620,20 Agosto 1985,,20 Agosto 1985,1985,Collector Not Found,4361,Veracruz,Yecuatla,"Yecuatla; por Chiveria, entre Cedral y Loma de San Agustin",1100.0,,Metres,,,,Bosque [Caudifolio],Arbol; 21 metros,,,,,,,
