ecatalogue_key,DarImageURL,catalog_irn,ObjEcode,ObjObjectNumber,IdeFiledAsFamilyNumber,DarGenus,DarSpecies,DarSubspecies,DarInfraspecificEpithet,DarInfraspecificRank,ColCollectionNumber,ColEarliestDateCollected,ColLatestDateCollected,ColDateCollected,site_irn,LocElevationASLFromMt,LocElevationASLToMt,LocElevationASLFromFt,LocElevationASLToFt,PolLocality,PolPD1,PolPD2,PolPD3,LatPreferredCentroidLatDec,LatPreferredCentroidLatitude,LatPreferredCentroidLongDec,LatPreferredCentroidLongitude,site_parent_irn,taxon_1_IdeTaxonRef_key,taxon_1_taxon_irn,taxon_1_taxon_parent_irn,col_1_ColCollectorRef_key,col_1_Collector_irn,col_1_NamFullName,col_1_NamBriefName,col_1_NamFirst,col_1_NamMiddle,col_1_NamLast,col_1_NamPartyType,col_1_NamSource,col_1_NamExternalReferences_tab,col_1_NamOrganisationOtherNames_tab,col_1_NamOtherNames_tab,col_1_NamRoles_tab,col_2_ColCollectorRef_key,col_2_Collector_irn,col_2_NamFullName,col_2_NamBriefName,col_2_NamFirst,col_2_NamMiddle,col_2_NamLast,col_2_NamPartyType,col_2_NamSource,col_2_NamExternalReferences_tab,col_2_NamOrganisationOtherNames_tab,col_2_NamOtherNames_tab,col_2_NamRoles_tab,col_3_ColCollectorRef_key,col_3_Collector_irn,col_3_NamFullName,col_3_NamBriefName,col_3_NamFirst,col_3_NamMiddle,col_3_NamLast,col_3_NamPartyType,col_3_NamSource,col_3_NamExternalReferences_tab,col_3_NamOrganisationOtherNames_tab,col_3_NamOtherNames_tab,col_3_NamRoles_tab
94,http://fm-digital-assets.fieldmuseum.org/1847/587/C0363460F.jpg,3983618,C0363460F,142555.0,,Diplazium,expansum,,,,6865,,,s.d.,3491,,,,,Saint Vincent And The Grenadines,Saint Vincent And The Grenadines,,,13.0833,13  05 00 N,-61.2,61 12 00 W,21540,93.0,25480.0,89236.0,96.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
95,http://fm-digital-assets.fieldmuseum.org/1847/588/C0363461F.jpg,3983619,C0363461F,1523499.0,,Diplazium,,,,,1426,1945-12-09,,,3491,,,,,Saint Vincent And The Grenadines,Saint Vincent And The Grenadines,,,13.0833,13  05 00 N,-61.2,61 12 00 W,21540,94.0,89236.0,411849.0,97.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,http://fm-digital-assets.fieldmuseum.org/1881/524/C0677467F.jpg,4021164,C0677467F,1523543.0,,Trichomanes,trigonum,,,,1388,1945-11-29,,,3491,,,,,Saint Vincent And The Grenadines,Saint Vincent And The Grenadines,,,13.0833,13  05 00 N,-61.2,61 12 00 W,21540,95.0,625312.0,92928.0,98.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,http://fm-digital-assets.fieldmuseum.org/2129/934/V0484069F.jpg,4184893,V0484069F,2071121.0,,Piper,dilatatum,,,,4836,1947-04-07,,,3491,,,,,Saint Vincent And The Grenadines,Saint Vincent And The Grenadines,,,13.0833,13  05 00 N,-61.2,61 12 00 W,21540,96.0,60056.0,100400.0,99.0,22475.0,Conrad V. Morton,C. V. Morton,Conrad,Vernon,Morton,Person,Botany Master,ASA Botanist ID 101527,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
98,http://fm-digital-assets.fieldmuseum.org/2129/935/V0484070F.jpg,4184894,V0484070F,2071122.0,,Piper,dilatatum,,,,4836,1947-04-07,,,3491,,,,,Saint Vincent And The Grenadines,Saint Vincent And The Grenadines,,,13.0833,13  05 00 N,-61.2,61 12 00 W,21540,97.0,60056.0,100400.0,100.0,22475.0,Conrad V. Morton,C. V. Morton,Conrad,Vernon,Morton,Person,Botany Master,ASA Botanist ID 101527,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
99,http://fm-digital-assets.fieldmuseum.org/2129/976/V0484111F.jpg,4195016,V0484111F,157301.0,,Piper,glabrescens,,,,6925,1850-01-10,,,3491,,,,,Saint Vincent And The Grenadines,Saint Vincent And The Grenadines,,,13.0833,13  05 00 N,-61.2,61 12 00 W,21540,98.0,60155.0,100400.0,101.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
100,http://fm-digital-assets.fieldmuseum.org/2130/093/V0484228F.jpg,4196633,V0484228F,1523380.0,,Piper,peltatum,,,,1384,1945-11-29,,,3491,,,,,Saint Vincent And The Grenadines,Saint Vincent And The Grenadines,,,13.0833,13  05 00 N,-61.2,61 12 00 W,21540,99.0,60483.0,100400.0,102.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,http://fm-digital-assets.fieldmuseum.org/2125/964/V0484356F.jpg,4198942,V0484356F,2071119.0,,Allamanda,cathartica,,,,4930,1947-04-11,,,3491,,,,,Saint Vincent And The Grenadines,Saint Vincent And The Grenadines,,,13.0833,13  05 00 N,-61.2,61 12 00 W,21540,100.0,3449.0,282948.0,103.0,22475.0,Conrad V. Morton,C. V. Morton,Conrad,Vernon,Morton,Person,Botany Master,ASA Botanist ID 101527,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
102,http://fm-digital-assets.fieldmuseum.org/2189/700/V0485145F.jpg,4237452,V0485145F,2003891.0,,Funastrum,clausum,,,,4254,1967-07-23,,,3491,,,,,Saint Vincent And The Grenadines,Saint Vincent And The Grenadines,,,13.0833,13  05 00 N,-61.2,61 12 00 W,21540,101.0,288566.0,32319.0,104.0,1537.0,Jonathan D. Sauer,J. D. Sauer,Jonathan,Deininger,Sauer,Person,Botany Master; IPNI 8947-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,http://fm-digital-assets.fieldmuseum.org/2191/339/V0485370F.jpg,4310865,V0485370F,2071114.0,,Vincetoxicum,indicum,,,,4641,1947-03-25,1947-04-02,,3491,,,,,Saint Vincent And The Grenadines,Saint Vincent And The Grenadines,,,13.0833,13  05 00 N,-61.2,61 12 00 W,21540,102.0,711736.0,81666.0,105.0,22475.0,Conrad V. Morton,C. V. Morton,Conrad,Vernon,Morton,Person,Botany Master,ASA Botanist ID 101527,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
