ecatalogue_key,DarImageURL,catalog_irn,ObjEcode,ObjObjectNumber,IdeFiledAsFamilyNumber,DarGenus,DarSpecies,DarSubspecies,DarInfraspecificEpithet,DarInfraspecificRank,ColCollectionNumber,ColEarliestDateCollected,ColLatestDateCollected,ColDateCollected,site_irn,LocElevationASLFromMt,LocElevationASLToMt,LocElevationASLFromFt,LocElevationASLToFt,PolLocality,PolPD1,PolPD2,PolPD3,LatPreferredCentroidLatDec,LatPreferredCentroidLatitude,LatPreferredCentroidLongDec,LatPreferredCentroidLongitude,site_parent_irn,taxon_1_IdeTaxonRef_key,taxon_1_taxon_irn,taxon_1_taxon_parent_irn,taxon_2_IdeTaxonRef_key,taxon_2_taxon_irn,taxon_2_taxon_parent_irn,col_1_ColCollectorRef_key,col_1_Collector_irn,col_1_NamFullName,col_1_NamBriefName,col_1_NamFirst,col_1_NamMiddle,col_1_NamLast,col_1_NamPartyType,col_1_NamSource,col_1_NamExternalReferences_tab,col_1_NamOrganisationOtherNames_tab,col_1_NamOtherNames_tab,col_1_NamRoles_tab,col_2_ColCollectorRef_key,col_2_Collector_irn,col_2_NamFullName,col_2_NamBriefName,col_2_NamFirst,col_2_NamMiddle,col_2_NamLast,col_2_NamPartyType,col_2_NamSource,col_2_NamExternalReferences_tab,col_2_NamOrganisationOtherNames_tab,col_2_NamOtherNames_tab,col_2_NamRoles_tab,col_3_ColCollectorRef_key,col_3_Collector_irn,col_3_NamFullName,col_3_NamBriefName,col_3_NamFirst,col_3_NamMiddle,col_3_NamLast,col_3_NamPartyType,col_3_NamSource,col_3_NamExternalReferences_tab,col_3_NamOrganisationOtherNames_tab,col_3_NamOtherNames_tab,col_3_NamRoles_tab,col_4_ColCollectorRef_key,col_4_Collector_irn,col_4_NamFullName,col_4_NamBriefName,col_4_NamFirst,col_4_NamMiddle,col_4_NamLast,col_4_NamPartyType,col_4_NamSource,col_4_NamExternalReferences_tab,col_4_NamOrganisationOtherNames_tab,col_4_NamOtherNames_tab,col_4_NamRoles_tab,col_5_ColCollectorRef_key,col_5_Collector_irn,col_5_NamFullName,col_5_NamBriefName,col_5_NamFirst,col_5_NamMiddle,col_5_NamLast,col_5_NamPartyType,col_5_NamSource,col_5_NamExternalReferences_tab,col_5_NamOrganisationOtherNames_tab,col_5_NamOtherNames_tab,col_5_NamRoles_tab
1,http://fm-digital-assets.fieldmuseum.org/995/773/VERB_verb_offi_1602055.jpg,3112347,,1602055,,Verbena,officinalis,,,,121,1849-01-,,,2973,,,,,Matanzas,Cuba,Matanzas,,22.6667,22  40 00 N,-81.1667,81 10 00 W,2610,1.0,10.0,109037.0,,,,1.0,29544.0,Ferdinand I. X. Rugel,F. Rugel,Ferdinand,Ignatius Xavier,Rugel,Person,Botany Master,ASA Botanist ID 166511 | 137613,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,http://fm-digital-assets.fieldmuseum.org/170/060/CYCA_micr_calo_931328.jpg,590416,,931328,,Microcycas,calocoma,,,,,1938,,,3110,,,,,Pinar del Río,Cuba,Pinar del Río,,22.5833,22  35 00 N,-83.6667,83 40 00 W,2610,2.0,48607.0,48606.0,,,,2.0,19326.0,Charles J. Chamberlain,C. J. Chamberlain,Charles,Joseph,Chamberlain,Person,Botany Pilot Data,ASA 132274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,http://fm-digital-assets.fieldmuseum.org/167/001/MALP_bani_pauc_170606.jpg,395852,,170606,,Banisteriopsis,pauciflora,,,,189,1904-11-10,,,230818,,,,,La Habana,Cuba,La Habana,,,,,,2610,3.0,287287.0,95844.0,,,,3.0,37834.0,Heman A. van Hermann,H. A. van Hermann,Heman,Adolf,van Hermann,Person,Botany Master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,http://fm-digital-assets.fieldmuseum.org/221/956/V0068519F.jpg,274759,V0068519F,604763,,Borreria,matanzasia,,,,16497,1923-05-31,,,2973,,,,,Matanzas,Cuba,Matanzas,,22.6667,22  40 00 N,-81.1667,81 10 00 W,2610,4.0,10891.0,10844.0,,,,4.0,28153.0,Erik L. Ekman,E. L. Ekman,Erik,Leonard,Ekman,Person,Botany Master,ASA Botanist ID 149789,,E. Ekman,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,http://fm-digital-assets.fieldmuseum.org/55/427/V0054906F.jpg,144386,V0054906F,184645,,Ipomoea,curtisii,,,,562,1904-12-12,,,2670,,,,,near Havana,Cuba,Ciudad de la Habana,,,,,,633338,5.0,39436.0,87721.0,,,,5.0,14211.0,Allen H. Curtiss,A. H. Curtiss,Allen,Hiram,Curtiss,Person,Botany Master,ASA Botanist ID 137553,,A. Curtiss,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,206363,,165184,,Anacardium,occidentale,,,,271,1904-01-04,1904-05-,,148,,,,,near Nueva Gerona,Cuba,,,,,,,2610,6.0,4181.0,4173.0,,,,6.0,14211.0,Allen H. Curtiss,A. H. Curtiss,Allen,Hiram,Curtiss,Person,Botany Master,ASA Botanist ID 137553,,A. Curtiss,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,250954,,,,Erythroxylum,longipes,,,,2137,1860,1864,,230861,,,,,,Cuba,Oriente,,,,,,3004,7.0,28625.0,89651.0,,,,7.0,21061.0,Charles (Carlos) Wright,C. Wright,Charles (Carlos),,Wright,Person,Botany Master,ASA Botanist ID 150088,,"Ch. Wright
Chas. Wright",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,250725,,,,Erythroxylum,coriaceum,,,,3601,1910-01-18,,,231348,450.0,550.0,1476.0,1804.0,"Rio Guayabo, above the fall",Cuba,Oriente,,,,,,3004,8.0,28521.0,89651.0,,,,8.0,41180.0,John A. Shafer,J. A. Shafer,John,Adolph,Shafer,Person,Botany Master,ASA Botanist ID 101219 | 149307,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,250948,,,,Erythroxylum,lindelieanum,,,,4766,1915-02-25,,,231355,,,,,Sierra de Nipe in charrascales ad Rio Canapu,Cuba,Oriente,,,,,,3004,9.0,28621.0,89651.0,,,,9.0,28153.0,Erik L. Ekman,E. L. Ekman,Erik,Leonard,Ekman,Person,Botany Master,ASA Botanist ID 149789,,E. Ekman,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,http://fm-digital-assets.fieldmuseum.org/995/596/URTI_rous_humi_723716.jpg,3110122,,723716,,Rousselia,humilis,,,,6260,1927-08-21,,1927-08-21,2912,,,,,,Cuba,Cienfuegos,Cienfuegos,22.3,22  18 00 N,80.5,80 30 00 E,699332,10.0,67236.0,286163.0,,,,10.0,180274.0,J. G. Jack,J. G. Jack,J.,G.,Jack,Person,Action Master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,http://fm-digital-assets.fieldmuseum.org/56/558/V0060242F.jpg,344741,V0060242F,686887,,Laetia,ternstroemioides,,,,1107,1859-01-,1859-07-,,3004,,,,,Oriente,Cuba,Oriente,,,,,,2610,11.0,114487.0,41292.0,,,,11.0,21061.0,Charles (Carlos) Wright,C. Wright,Charles (Carlos),,Wright,Person,Botany Master,ASA Botanist ID 150088,,"Ch. Wright
Chas. Wright",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,http://fm-digital-assets.fieldmuseum.org/226/672/V0073902F.jpg,256597,V0073902F,165371,,Jacquinia,curtissii,,,,463,1904-04-24,,,148,,,,,near Nueva Gerona,Cuba,,,,,,,2610,12.0,40230.0,107303.0,,,,12.0,14211.0,Allen H. Curtiss,A. H. Curtiss,Allen,Hiram,Curtiss,Person,Botany Master,ASA Botanist ID 137553,,A. Curtiss,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,http://fm-digital-assets.fieldmuseum.org/45/585/V0046710F.jpg,250280,V0046710F,165329,,Eragrostis,cubensis,,,,420,1904-03-20,,,2915,,,,,,Cuba,,,22.1333,22  08 00 N,-82.4667,82 28 00 W,2610,13.0,27852.0,100970.0,,,,13.0,14211.0,Allen H. Curtiss,A. H. Curtiss,Allen,Hiram,Curtiss,Person,Botany Master,ASA Botanist ID 137553,,A. Curtiss,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,http://fm-digital-assets.fieldmuseum.org/57/020/V0060708F.jpg,145100,V0060708F,79131,,Salacia,blainii,,,,176,,,,2915,,,,,,Cuba,,,22.1333,22  08 00 N,-82.4667,82 28 00 W,2610,14.0,92418.0,92417.0,,,,14.0,47183.0,José Blain,J. Blain,José,,Blain,Person,Botany Master,ASA Botanist ID 143438,,Don José Blain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,http://fm-digital-assets.fieldmuseum.org/60/116/V0063918F.jpg,144507,V0063918F,602496,,Pachyanthus,pedicellatus,,,,16092,1923-01-04,,,611435,1200.0,,3937.0,,"Sierra Maestrra, El Gigante",Cuba,Granma,,,,,,633340,15.0,96788.0,96787.0,,,,15.0,28153.0,Erik L. Ekman,E. L. Ekman,Erik,Leonard,Ekman,Person,Botany Master,ASA Botanist ID 149789,,E. Ekman,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,http://fm-digital-assets.fieldmuseum.org/995/694/VERB_cith_elli_189072.jpg,3109350,,189072,,Citharexylum,ellipticum,,,,2698,1906-03-14,,1906-03-14,230818,,,,,La Habana,Cuba,La Habana,,,,,,2610,16.0,115688.0,18036.0,,,,16.0,37834.0,Heman A. van Hermann,H. A. van Hermann,Heman,Adolf,van Hermann,Person,Botany Master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,http://fm-digital-assets.fieldmuseum.org/137/547/V0075027F.jpg,144904,V0075027F,2108242,,Copernicia,clarensis,,,,14956,1931-06-29,,,2630,,,,,Cerro Calvo,Cuba,,,,,,,2610,17.0,84384.0,84378.0,,,,17.0,31920.0,Brother Joseph Sylvestre Sauget-Barbier León,Bro. León,Joseph Sylvestre,,Sauget-Barbier León,Person,Botany Master,ASA Botanist ID 101234 | 146141 | 142274,,"Frère Leon
Hermano León
Joseph Sylvestre
Joseph Sylvestre Sauget-Barbier
Sauget y Barbis",,18.0,8556.0,Bro Regis,Bro. Regis,,,Regis,Person,Botany Pilot Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,http://fm-digital-assets.fieldmuseum.org/993/809/SAPO_side_horr_450802.jpg,3109517,,450802,,Sideroxylon,horridum,,,,12705,1912-02-17,,1912-02-17,3004,,,,,Oriente,Cuba,Oriente,,,,,,2610,18.0,577669.0,71861.0,,,,19.0,59546.0,Nathaniel L. Britton,N. L. Britton,Nathaniel,Lord,Britton,Person,Botany Master,ASA Botanist ID 100068,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,251227,,,,Erythroxylum,roigii,,,,1856,1919-08-18,,,230808,,,,,Caleta Grande,Cuba,,,,,,,2610,19.0,28722.0,89651.0,,,,20.0,47580.0,Juan T. Roig y Mesa,J. T. Roig y Mesa,Juan,Tomas,Roig y Mesa,Person,Botany Master,,,J. T. Roig y Mesa,,21.0,53049.0,M. Cremata,M. Cremata,M.,,Cremata,Person,Botany Master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,279230,,,,Copernicia,curtissii,,,,435,1904-04-05,,,148,,,,,near Nueva Gerona,Cuba,,,,,,,2610,20.0,20269.0,84378.0,,,,22.0,14211.0,Allen H. Curtiss,A. H. Curtiss,Allen,Hiram,Curtiss,Person,Botany Master,ASA Botanist ID 137553,,A. Curtiss,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,279231,,,,Copernicia,curtissii,,,,435,1904-04-05,,,148,,,,,near Nueva Gerona,Cuba,,,,,,,2610,21.0,20269.0,84378.0,,,,23.0,14211.0,Allen H. Curtiss,A. H. Curtiss,Allen,Hiram,Curtiss,Person,Botany Master,ASA Botanist ID 137553,,A. Curtiss,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,http://fm-digital-assets.fieldmuseum.org/207/004/V0071978F.jpg,352780,V0071978F,781745,,Labatia,micrantha,,,,6416,1926-04-,,,588671,350.0,,1148.0,,"Sierra de Nipe, Rio Piloto",Cuba,Oriente,,,,,,3004,22.0,113843.0,284782.0,,,,24.0,28153.0,Erik L. Ekman,E. L. Ekman,Erik,Leonard,Ekman,Person,Botany Master,ASA Botanist ID 149789,,E. Ekman,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,http://fm-digital-assets.fieldmuseum.org/133/152/V0071977F.jpg,352779,V0071977F,781742,,Labatia,grandifolia,,,,7265,1916-05-,,,588672,200.0,400.0,656.0,1312.0,Sierra Maestra; between Rio Oro and Rio Bayamo,Cuba,Oriente,,,,,,3004,23.0,113842.0,284782.0,,,,25.0,28153.0,Erik L. Ekman,E. L. Ekman,Erik,Leonard,Ekman,Person,Botany Master,ASA Botanist ID 149789,,E. Ekman,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,http://fm-digital-assets.fieldmuseum.org/53/027/V0052464F.jpg,145239,V0052464F,79013,,Heliotropium,reversiferum,,,,58,,,,2915,,,,,,Cuba,,,22.1333,22  08 00 N,-82.4667,82 28 00 W,2610,24.0,86000.0,85994.0,,,,26.0,47183.0,José Blain,J. Blain,José,,Blain,Person,Botany Master,ASA Botanist ID 143438,,Don José Blain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,157675,,1469839,,Erythroxylum,havanense,,,,43600,,,,230805,,,,,Along road from Nueva Gerona to Bibijagua and Herradura. Dense woods near Playa ,Cuba,,,,,,,2610,25.0,28589.0,89651.0,,,,27.0,27550.0,Ellsworth P. Killip,E. P. Killip,Ellsworth,Paine,Killip,Person,Botany Master,ASA Botanist ID 101393,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,165701,,,,Erythroxylum,coriaceum,,,,3842,,,,590782,,,,,"Rio Yagrumajes, Moa",Cuba,Oriente,,,,,,3004,26.0,28521.0,89651.0,,,,28.0,6180.0,Brother Clément,Bro. Clément,,,Clément,Person,Botany Master,ASA Botanist ID 104182 | 105407 | 116870 | 139489,,"Bro. Clemente
Augustin Clément Teteau",Collector (Botany),29.0,13058.0,Brother Alain H. Liogier,Bro. A. H. Liogier,Alain,Henri,Liogier,Person,Botany Master,ASA Botanist ID 101226,,"A. Liogier
Enrique Eugenio Liogier
Enrique Eugenio Liogier Allut
Enrique Eugenio Liogier y Allut
Enrique Liogier
Henri Alain Liogier
Hermano Enrique E. Alain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,160024,,,,Erythroxylum,longipes,,,,4505,,,,231342,,,,,"Jaragua rivulet, Cayoguan Noa",Cuba,Oriente,,,,,,3004,27.0,28625.0,89651.0,,,,30.0,6180.0,Brother Clément,Bro. Clément,,,Clément,Person,Botany Master,ASA Botanist ID 104182 | 105407 | 116870 | 139489,,"Bro. Clemente
Augustin Clément Teteau",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,160004,,,,Erythroxylum,longipes,,,,945,,,,231345,,,,,Pinelands: Moa,Cuba,Oriente,,,,,,3004,28.0,28625.0,89651.0,,,,31.0,13058.0,Brother Alain H. Liogier,Bro. A. H. Liogier,Alain,Henri,Liogier,Person,Botany Master,ASA Botanist ID 101226,,"A. Liogier
Enrique Eugenio Liogier
Enrique Eugenio Liogier Allut
Enrique Eugenio Liogier y Allut
Enrique Liogier
Henri Alain Liogier
Hermano Enrique E. Alain",,32.0,6180.0,Brother Clément,Bro. Clément,,,Clément,Person,Botany Master,ASA Botanist ID 104182 | 105407 | 116870 | 139489,,"Bro. Clemente
Augustin Clément Teteau",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,160043,,,,Erythroxylum,longipes,,,,22507,,,,231346,,,,,Pinelands; Moa,Cuba,Oriente,,,,,,3004,29.0,28625.0,89651.0,,,,33.0,31920.0,Brother Joseph Sylvestre Sauget-Barbier León,Bro. León,Joseph Sylvestre,,Sauget-Barbier León,Person,Botany Master,ASA Botanist ID 101234 | 146141 | 142274,,"Frère Leon
Hermano León
Joseph Sylvestre
Joseph Sylvestre Sauget-Barbier
Sauget y Barbis",,34.0,13058.0,Brother Alain H. Liogier,Bro. A. H. Liogier,Alain,Henri,Liogier,Person,Botany Master,ASA Botanist ID 101226,,"A. Liogier
Enrique Eugenio Liogier
Enrique Eugenio Liogier Allut
Enrique Eugenio Liogier y Allut
Enrique Liogier
Henri Alain Liogier
Hermano Enrique E. Alain",,35.0,6180.0,Brother Clément,Bro. Clément,,,Clément,Person,Botany Master,ASA Botanist ID 104182 | 105407 | 116870 | 139489,,"Bro. Clemente
Augustin Clément Teteau",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
30,,157353,,,,Erythroxylum,havanense,,,,7588,,,,231351,,,,,Roadside near El Cobre,Cuba,Oriente,,,,,,3004,30.0,28589.0,89651.0,,,,36.0,6180.0,Brother Clément,Bro. Clément,,,Clément,Person,Botany Master,ASA Botanist ID 104182 | 105407 | 116870 | 139489,,"Bro. Clemente
Augustin Clément Teteau",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,160021,,,,Erythroxylum,longipes,,,,4489,,,,231358,,,,,"Valley of Cayoguan river, Moa",Cuba,Oriente,,,,,,3004,31.0,28625.0,89651.0,,,,37.0,6180.0,Brother Clément,Bro. Clément,,,Clément,Person,Botany Master,ASA Botanist ID 104182 | 105407 | 116870 | 139489,,"Bro. Clemente
Augustin Clément Teteau",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,165708,,,,Erythroxylum,coriaceum,,,,20238,,,,231424,,,,,,Cuba,Oriente,,,,,,3004,32.0,28521.0,89651.0,,,,38.0,31920.0,Brother Joseph Sylvestre Sauget-Barbier León,Bro. León,Joseph Sylvestre,,Sauget-Barbier León,Person,Botany Master,ASA Botanist ID 101234 | 146141 | 142274,,"Frère Leon
Hermano León
Joseph Sylvestre
Joseph Sylvestre Sauget-Barbier
Sauget y Barbis",,39.0,6180.0,Brother Clément,Bro. Clément,,,Clément,Person,Botany Master,ASA Botanist ID 104182 | 105407 | 116870 | 139489,,"Bro. Clemente
Augustin Clément Teteau",Collector (Botany),40.0,66479.0,Richard A. Howard,R. A. Howard,Richard,Alden,Howard,Person,Botany Master,ASA Botanist ID 102117,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
33,,165709,,,,Erythroxylum,coriaceum,,,,22481,,,,231424,,,,,,Cuba,Oriente,,,,,,3004,33.0,28521.0,89651.0,,,,41.0,31920.0,Brother Joseph Sylvestre Sauget-Barbier León,Bro. León,Joseph Sylvestre,,Sauget-Barbier León,Person,Botany Master,ASA Botanist ID 101234 | 146141 | 142274,,"Frère Leon
Hermano León
Joseph Sylvestre
Joseph Sylvestre Sauget-Barbier
Sauget y Barbis",,42.0,6180.0,Brother Clément,Bro. Clément,,,Clément,Person,Botany Master,ASA Botanist ID 104182 | 105407 | 116870 | 139489,,"Bro. Clemente
Augustin Clément Teteau",Collector (Botany),43.0,66479.0,Richard A. Howard,R. A. Howard,Richard,Alden,Howard,Person,Botany Master,ASA Botanist ID 102117,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
34,,165696,,,,Erythroxylum,coriaceum,,,,888,,,,231424,,,,,,Cuba,Oriente,,,,,,3004,34.0,28521.0,89651.0,,,,44.0,13058.0,Brother Alain H. Liogier,Bro. A. H. Liogier,Alain,Henri,Liogier,Person,Botany Master,ASA Botanist ID 101226,,"A. Liogier
Enrique Eugenio Liogier
Enrique Eugenio Liogier Allut
Enrique Eugenio Liogier y Allut
Enrique Liogier
Henri Alain Liogier
Hermano Enrique E. Alain",,45.0,6180.0,Brother Clément,Bro. Clément,,,Clément,Person,Botany Master,ASA Botanist ID 104182 | 105407 | 116870 | 139489,,"Bro. Clemente
Augustin Clément Teteau",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,165711,,,,Erythroxylum,coriaceum,,,,22628,,,,231427,,,,,"Serpente barrens, El Coco, Moa",Cuba,Oriente,,,,,,3004,35.0,28521.0,89651.0,,,,46.0,31920.0,Brother Joseph Sylvestre Sauget-Barbier León,Bro. León,Joseph Sylvestre,,Sauget-Barbier León,Person,Botany Master,ASA Botanist ID 101234 | 146141 | 142274,,"Frère Leon
Hermano León
Joseph Sylvestre
Joseph Sylvestre Sauget-Barbier
Sauget y Barbis",,47.0,6180.0,Brother Clément,Bro. Clément,,,Clément,Person,Botany Master,ASA Botanist ID 104182 | 105407 | 116870 | 139489,,"Bro. Clemente
Augustin Clément Teteau",Collector (Botany),48.0,66479.0,Richard A. Howard,R. A. Howard,Richard,Alden,Howard,Person,Botany Master,ASA Botanist ID 102117,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
36,,170431,,,,Erythroxylum,pedicellare,,,,985,,,,231481,,,,,Cerro de Cananova,Cuba,Santiago de Cuba,,,,,,2937,36.0,114926.0,89651.0,,,,49.0,13058.0,Brother Alain H. Liogier,Bro. A. H. Liogier,Alain,Henri,Liogier,Person,Botany Master,ASA Botanist ID 101226,,"A. Liogier
Enrique Eugenio Liogier
Enrique Eugenio Liogier Allut
Enrique Eugenio Liogier y Allut
Enrique Liogier
Henri Alain Liogier
Hermano Enrique E. Alain",,50.0,6180.0,Brother Clément,Bro. Clément,,,Clément,Person,Botany Master,ASA Botanist ID 104182 | 105407 | 116870 | 139489,,"Bro. Clemente
Augustin Clément Teteau",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,157343,,,,Erythroxylum,havanense,,,,3513,,,,230758,,,,,"Banks of Joturo River, La Prueba, Santiago, Or.",Cuba,,,,,,,2610,37.0,28589.0,89651.0,,,,51.0,6180.0,Brother Clément,Bro. Clément,,,Clément,Person,Botany Master,ASA Botanist ID 104182 | 105407 | 116870 | 139489,,"Bro. Clemente
Augustin Clément Teteau",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,157344,,,,Erythroxylum,havanense,,,,6568,,,,230771,,,,,"Charco Mono, Santiago de Cuba",Cuba,,,,,,,2610,38.0,28589.0,89651.0,,,,52.0,6180.0,Brother Clément,Bro. Clément,,,Clément,Person,Botany Master,ASA Botanist ID 104182 | 105407 | 116870 | 139489,,"Bro. Clemente
Augustin Clément Teteau",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,157351,,,,Erythroxylum,havanense,,,,7049,,,,230774,,,,,"Coastal cliffs: Sardinero, Santiago de Cuba",Cuba,,,,,,,2610,39.0,28589.0,89651.0,,,,53.0,6180.0,Brother Clément,Bro. Clément,,,Clément,Person,Botany Master,ASA Botanist ID 104182 | 105407 | 116870 | 139489,,"Bro. Clemente
Augustin Clément Teteau",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,http://fm-digital-assets.fieldmuseum.org/61/592/V0055972F.jpg,145210,V0055972F,457929,,Chamaesyce,jenningsii,,,,621,1910-05-07,,,230801,,,,,,Cuba,,,,,,,2610,40.0,89690.0,89689.0,,,,54.0,61065.0,Otto E. Jennings,O. E. Jennings,Otto,Emery,Jennings,Person,Botany Master,ASA Botanist ID 100875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,http://fm-digital-assets.fieldmuseum.org/984/980/MALV_hibi_elat_358433.jpg,395951,,358433,,Hibiscus,elatus,,,,672,1895-07-12,,1895-07-12,2661,,,,,Villa Clara,Cuba,Villa Clara,,22.5,22  30 00 N,-80.0,80 00 00 W,2610,41.0,288860.0,36859.0,,,,55.0,66726.0,Robert Combs,R. Combs,Robert,,Combs,Person,Botany Master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,171251,,,,Erythroxylum,rotundifolium,,,,5765,,,,231479,,,,,,Cuba,Santiago de Cuba,,,,,,2937,42.0,28725.0,89651.0,,,,56.0,66479.0,Richard A. Howard,R. A. Howard,Richard,Alden,Howard,Person,Botany Master,ASA Botanist ID 102117,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,167471,,,,Erythroxylum,minutifolium,,,,12815,1912-03-17,1912-03-20,,231480,,,,,Cabanas Bay,Cuba,Santiago de Cuba,,,,,,2937,43.0,28653.0,89651.0,,,,57.0,59546.0,Nathaniel L. Britton,N. L. Britton,Nathaniel,Lord,Britton,Person,Botany Master,ASA Botanist ID 100068,,,Collector (Botany),58.0,105308.0,J. F. Crowell,J. F. Crowell,J.,F.,Crowell,Person,Botany Master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,167479,,1477189,,Erythroxylum,minutifolium,,,,7596,,,,231482,,,,,"Halguin, in carrascalas ad -El Paraiso-",Cuba,Santiago de Cuba,,,,,,2937,44.0,28653.0,89651.0,,,,59.0,28153.0,Erik L. Ekman,E. L. Ekman,Erik,Leonard,Ekman,Person,Botany Master,ASA Botanist ID 149789,,E. Ekman,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,170435,,1477615,,Erythroxylum,pedicellare,,,,2310,,,,231483,,,,,In carrascales ad Rio Pilato,Cuba,Santiago de Cuba,,,,,,2937,45.0,114926.0,89651.0,,,,60.0,28153.0,Erik L. Ekman,E. L. Ekman,Erik,Leonard,Ekman,Person,Botany Master,ASA Botanist ID 149789,,E. Ekman,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
