ecatalogue_key,DarImageURL,catalog_irn,ObjEcode,ObjObjectNumber,IdeFiledAsFamilyNumber,DarGenus,DarSpecies,DarSubspecies,DarInfraspecificEpithet,DarInfraspecificRank,ColCollectionNumber,ColEarliestDateCollected,ColLatestDateCollected,ColDateCollected,site_irn,LocElevationASLFromMt,LocElevationASLToMt,LocElevationASLFromFt,LocElevationASLToFt,PolLocality,PolPD1,PolPD2,PolPD3,LatPreferredCentroidLatDec,LatPreferredCentroidLatitude,LatPreferredCentroidLongDec,LatPreferredCentroidLongitude,site_parent_irn,taxon_1_IdeTaxonRef_key,taxon_1_taxon_irn,taxon_1_taxon_parent_irn,taxon_2_IdeTaxonRef_key,taxon_2_taxon_irn,taxon_2_taxon_parent_irn,col_1_ColCollectorRef_key,col_1_Collector_irn,col_1_NamFullName,col_1_NamBriefName,col_1_NamFirst,col_1_NamMiddle,col_1_NamLast,col_1_NamPartyType,col_1_NamSource,col_1_NamExternalReferences_tab,col_1_NamOrganisationOtherNames_tab,col_1_NamOtherNames_tab,col_1_NamRoles_tab,col_2_ColCollectorRef_key,col_2_Collector_irn,col_2_NamFullName,col_2_NamBriefName,col_2_NamFirst,col_2_NamMiddle,col_2_NamLast,col_2_NamPartyType,col_2_NamSource,col_2_NamExternalReferences_tab,col_2_NamOrganisationOtherNames_tab,col_2_NamOtherNames_tab,col_2_NamRoles_tab,col_3_ColCollectorRef_key,col_3_Collector_irn,col_3_NamFullName,col_3_NamBriefName,col_3_NamFirst,col_3_NamMiddle,col_3_NamLast,col_3_NamPartyType,col_3_NamSource,col_3_NamExternalReferences_tab,col_3_NamOrganisationOtherNames_tab,col_3_NamOtherNames_tab,col_3_NamRoles_tab
31,http://fm-digital-assets.fieldmuseum.org/2060/499/V0495627F.jpg,3997514,V0495627F,1263675.0,,Croton,balsamifer,,,,978,1937-08-21,,,750,,,,,,Antigua And Barbuda,,,17.05,17  03  N,-61.8,61 48  W,4249,31,685710,89693,,,,30.0,37253.0,Harold E. Box,H. E. Box,Harold,Edmund,Box,Person,Botany Master,ASA Botanist ID 113142,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
32,http://fm-digital-assets.fieldmuseum.org/2108/655/V0495797F.jpg,3998846,V0495797F,1500968.0,,Croton,flavens,,,,2085,1958-07-16,,,750,,,,,,Antigua And Barbuda,,,17.05,17  03  N,-61.8,61 48  W,4249,32,21653,89693,,,,31.0,1537.0,Jonathan D. Sauer,J. D. Sauer,Jonathan,Deininger,Sauer,Person,Botany Master; IPNI 8947-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,http://fm-digital-assets.fieldmuseum.org/2108/474/V0457552F.jpg,4002745,V0457552F,1262602.0,,Dalechampia,scandens,,,,782,1937-05-02,,,750,,,,,,Antigua And Barbuda,,,17.05,17  03  N,-61.8,61 48  W,4249,33,23805,23742,,,,32.0,37253.0,Harold E. Box,H. E. Box,Harold,Edmund,Box,Person,Botany Master,ASA Botanist ID 113142,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
34,http://fm-digital-assets.fieldmuseum.org/1892/108/V0514042F.jpg,4020266,V0514042F,1263192.0,,Catopsis,floribunda,,,,1255,1937-11-07,,,750,,,,,,Antigua And Barbuda,,,17.05,17  03  N,-61.8,61 48  W,4249,34,376927,283507,,,,33.0,37253.0,Harold E. Box,H. E. Box,Harold,Edmund,Box,Person,Botany Master,ASA Botanist ID 113142,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
35,http://fm-digital-assets.fieldmuseum.org/1796/603/C0668550F.jpg,3943495,C0668550F,1780737.0,,Nephrolepis,brownii,,,,10,1974,,,750,,,,,,Antigua And Barbuda,,,17.05,17  03  N,-61.8,61 48  W,4249,35,598833,89241,,,,34.0,40683.0,Carroll Holland,C. Holland,Carroll,,Holland,Person,Botany Master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,http://fm-digital-assets.fieldmuseum.org/1824/851/C0669447F.jpg,3961350,C0669447F,910476.0,,Microgramma,heterophylla,,,,202,1931-08-,,,750,,,,,,Antigua And Barbuda,,,17.05,17  03  N,-61.8,61 48  W,4249,36,616366,48629,,,,35.0,37253.0,Harold E. Box,H. E. Box,Harold,Edmund,Box,Person,Botany Master,ASA Botanist ID 113142,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
37,http://fm-digital-assets.fieldmuseum.org/1824/886/C0669480F.jpg,3961383,C0669480F,1244720.0,,Polypodium,heterophyllum,,,,202,1931-08-,,,750,,,,,,Antigua And Barbuda,,,17.05,17  03  N,-61.8,61 48  W,4249,37,620089,101053,,,,36.0,37253.0,Harold E. Box,H. E. Box,Harold,Edmund,Box,Person,Botany Master,ASA Botanist ID 113142,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
38,http://fm-digital-assets.fieldmuseum.org/1966/631/V0476176F.jpg,3957005,V0476176F,1261222.0,,Argythamnia,polygama,,,,1287,1937-11-27,,,750,,,,,,Antigua And Barbuda,,,17.05,17  03  N,-61.8,61 48  W,4249,38,682454,89684,,,,37.0,37253.0,Harold E. Box,H. E. Box,Harold,Edmund,Box,Person,Botany Master,ASA Botanist ID 113142,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
39,http://fm-digital-assets.fieldmuseum.org/2189/963/V0485258F.jpg,4310248,V0485258F,1260674.0,,Metastelma,parviflorum,,,,1310,1937-12-05,,,750,,,,,,Antigua And Barbuda,,,17.05,17  03  N,-61.8,61 48  W,4249,39,47834,84652,,,,38.0,37253.0,Harold E. Box,H. E. Box,Harold,Edmund,Box,Person,Botany Master,ASA Botanist ID 113142,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
40,http://fm-digital-assets.fieldmuseum.org/1841/005/C0362203F.jpg,3978535,C0362203F,1779982.0,,Thelypteris,dentata,,,,021,1976-05-30,,,750,,,,,,Antigua And Barbuda,,,17.05,17  03  N,-61.8,61 48  W,4249,40,77639,107298,,,,39.0,40683.0,Carroll Holland,C. Holland,Carroll,,Holland,Person,Botany Master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
