ecatalogue_key,DarImageURL,catalog_irn,ObjEcode,ObjObjectNumber,IdeFiledAsFamilyNumber,DarGenus,DarSpecies,DarSubspecies,DarInfraspecificEpithet,DarInfraspecificRank,ColCollectionNumber,ColEarliestDateCollected,ColLatestDateCollected,ColDateCollected,site_irn,LocElevationASLFromMt,LocElevationASLToMt,LocElevationASLFromFt,LocElevationASLToFt,PolLocality,PolPD1,PolPD2,PolPD3,LatPreferredCentroidLatDec,LatPreferredCentroidLatitude,LatPreferredCentroidLongDec,LatPreferredCentroidLongitude,site_parent_irn,taxon_1_IdeTaxonRef_key,taxon_1_taxon_irn,taxon_1_taxon_parent_irn,taxon_2_IdeTaxonRef_key,taxon_2_taxon_irn,taxon_2_taxon_parent_irn,col_1_ColCollectorRef_key,col_1_Collector_irn,col_1_NamFullName,col_1_NamBriefName,col_1_NamFirst,col_1_NamMiddle,col_1_NamLast,col_1_NamPartyType,col_1_NamSource,col_1_NamExternalReferences_tab,col_1_NamOrganisationOtherNames_tab,col_1_NamOtherNames_tab,col_1_NamRoles_tab,col_2_ColCollectorRef_key,col_2_Collector_irn,col_2_NamFullName,col_2_NamBriefName,col_2_NamFirst,col_2_NamMiddle,col_2_NamLast,col_2_NamPartyType,col_2_NamSource,col_2_NamExternalReferences_tab,col_2_NamOrganisationOtherNames_tab,col_2_NamOtherNames_tab,col_2_NamRoles_tab,col_3_ColCollectorRef_key,col_3_Collector_irn,col_3_NamFullName,col_3_NamBriefName,col_3_NamFirst,col_3_NamMiddle,col_3_NamLast,col_3_NamPartyType,col_3_NamSource,col_3_NamExternalReferences_tab,col_3_NamOrganisationOtherNames_tab,col_3_NamOtherNames_tab,col_3_NamRoles_tab,col_4_ColCollectorRef_key,col_4_Collector_irn,col_4_NamFullName,col_4_NamBriefName,col_4_NamFirst,col_4_NamMiddle,col_4_NamLast,col_4_NamPartyType,col_4_NamSource,col_4_NamExternalReferences_tab,col_4_NamOrganisationOtherNames_tab,col_4_NamOtherNames_tab,col_4_NamRoles_tab
50,http://fm-digital-assets.fieldmuseum.org/1830/141/C0674170F.jpg,3964829,C0674170F,141803.0,,Pityrogramma,chrysophylla,,,,s.n.,1880-02-20,,,587947,,,,,,Dominica,,,15.416667,15  25 00.00 N,-61.333333,61 20 00.00 W,21089,50.0,618994.0,383202.0,,,,61.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,http://fm-digital-assets.fieldmuseum.org/405/968/V0090132F.jpg,2156504,V0090132F,2128209.0,,Eugenia,albicans,,,,5589,1987-03-23,,,390098,,,,,"St. Peter, Syndicate Estate",Dominica,,,15.52,15  31  N,-61.45,61 27  W,21089,51.0,529174.0,97464.0,,,,62.0,104943.0,Caroline Whitefoord,C. Whitefoord,Caroline,,Whitefoord,Person,Botany Master,ASA Botanist ID 147998,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,http://fm-digital-assets.fieldmuseum.org/1875/021/V0508438F.jpg,4010563,V0508438F,2128546.0,,Tillandsia,usneoides,,,,646,1964-08-07,,,21089,,,,,Dominica,Dominica,,,15.5,15  30 00 N,-61.3333,61 20 00 W,21540,52.0,78367.0,86129.0,,,,63.0,5581.0,Robert L. Wilbur,R. L. Wilbur,Robert,Lynch,Wilbur,Person,Botany Master,ASA Botanist ID 107238,,R. Wilbur,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,http://fm-digital-assets.fieldmuseum.org/1875/022/V0508439F.jpg,4010566,V0508439F,1664837.0,,Tillandsia,usneoides,,,,646,1964-08-07,,,21089,,,,,Dominica,Dominica,,,15.5,15  30 00 N,-61.3333,61 20 00 W,21540,53.0,78367.0,86129.0,,,,64.0,5581.0,Robert L. Wilbur,R. L. Wilbur,Robert,Lynch,Wilbur,Person,Botany Master,ASA Botanist ID 107238,,R. Wilbur,Collector (Botany),65.0,105035.0,E. L. Dunn,E. L. Dunn,E.,L.,Dunn,Person,Botany Master,,,,,66.0,38120.0,Henry A. Hespenheide,H. A. Hespenheide,Henry,A.,Hespenheide,Person,Botany Master,,,Hespenheide,,67.0,104992.0,D. R. Wiseman,D. R. Wiseman,D.,R.,Wiseman,Person,Botany Master,,,,
54,http://fm-digital-assets.fieldmuseum.org/1888/543/V0508968F.jpg,4012209,V0508968F,1669754.0,,Euphorbia,articulata,,,,8239,1964-08-04,,,21089,,,,,Dominica,Dominica,,,15.5,15  30 00 N,-61.3333,61 20 00 W,21540,54.0,686776.0,89707.0,,,,68.0,5581.0,Robert L. Wilbur,R. L. Wilbur,Robert,Lynch,Wilbur,Person,Botany Master,ASA Botanist ID 107238,,R. Wilbur,Collector (Botany),69.0,105035.0,E. L. Dunn,E. L. Dunn,E.,L.,Dunn,Person,Botany Master,,,,,70.0,38120.0,Henry A. Hespenheide,H. A. Hespenheide,Henry,A.,Hespenheide,Person,Botany Master,,,Hespenheide,,71.0,104992.0,D. R. Wiseman,D. R. Wiseman,D.,R.,Wiseman,Person,Botany Master,,,,
55,http://fm-digital-assets.fieldmuseum.org/1890/550/V0509669F.jpg,4020831,V0509669F,1669731.0,,Euphorbia,hirta,,,,8126,1964-07-31,,,21089,,,,,Dominica,Dominica,,,15.5,15  30 00 N,-61.3333,61 20 00 W,21540,55.0,30722.0,89707.0,,,,72.0,5581.0,Robert L. Wilbur,R. L. Wilbur,Robert,Lynch,Wilbur,Person,Botany Master,ASA Botanist ID 107238,,R. Wilbur,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,http://fm-digital-assets.fieldmuseum.org/1890/941/V0509961F.jpg,4029324,V0509961F,1669733.0,,Euphorbia,hyssopifolia,,,,8341,1964-08-13,,,21089,,,,,Dominica,Dominica,,,15.5,15  30 00 N,-61.3333,61 20 00 W,21540,56.0,30732.0,89707.0,,,,73.0,5581.0,Robert L. Wilbur,R. L. Wilbur,Robert,Lynch,Wilbur,Person,Botany Master,ASA Botanist ID 107238,,R. Wilbur,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,http://fm-digital-assets.fieldmuseum.org/1898/488/V0511521F.jpg,4035212,V0511521F,1669732.0,,Euphorbia,thymifolia,,,,8335,1964-08-13,,,21089,,,,,Dominica,Dominica,,,15.5,15  30 00 N,-61.3333,61 20 00 W,21540,57.0,208057.0,89707.0,,,,74.0,5581.0,Robert L. Wilbur,R. L. Wilbur,Robert,Lynch,Wilbur,Person,Botany Master,ASA Botanist ID 107238,,R. Wilbur,Collector (Botany),75.0,105035.0,E. L. Dunn,E. L. Dunn,E.,L.,Dunn,Person,Botany Master,,,,,76.0,38120.0,Henry A. Hespenheide,H. A. Hespenheide,Henry,A.,Hespenheide,Person,Botany Master,,,Hespenheide,,77.0,104992.0,D. R. Wiseman,D. R. Wiseman,D.,R.,Wiseman,Person,Botany Master,,,,
58,http://fm-digital-assets.fieldmuseum.org/1911/256/V0513185F.jpg,4041296,V0513185F,1669721.0,,Jatropha,curcas,,,,7591,1964-07-17,,,21089,,,,,Dominica,Dominica,,,15.5,15  30 00 N,-61.3333,61 20 00 W,21540,58.0,40335.0,89714.0,,,,78.0,5581.0,Robert L. Wilbur,R. L. Wilbur,Robert,Lynch,Wilbur,Person,Botany Master,ASA Botanist ID 107238,,R. Wilbur,Collector (Botany),79.0,105035.0,E. L. Dunn,E. L. Dunn,E.,L.,Dunn,Person,Botany Master,,,,,80.0,38120.0,Henry A. Hespenheide,H. A. Hespenheide,Henry,A.,Hespenheide,Person,Botany Master,,,Hespenheide,,81.0,104992.0,D. R. Wiseman,D. R. Wiseman,D.,R.,Wiseman,Person,Botany Master,,,,
59,http://fm-digital-assets.fieldmuseum.org/1911/263/V0513192F.jpg,4041309,V0513192F,1669735.0,,Jatropha,curcas,,,,7658,1964-07-18,1964-07-19,,21089,,,,,Dominica,Dominica,,,15.5,15  30 00 N,-61.3333,61 20 00 W,21540,59.0,40335.0,89714.0,,,,82.0,5581.0,Robert L. Wilbur,R. L. Wilbur,Robert,Lynch,Wilbur,Person,Botany Master,ASA Botanist ID 107238,,R. Wilbur,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
