ecatalogue_key,DarImageURL,catalog_irn,ObjEcode,ObjObjectNumber,IdeFiledAsFamilyNumber,DarGenus,DarSpecies,DarSubspecies,DarInfraspecificEpithet,DarInfraspecificRank,ColCollectionNumber,ColEarliestDateCollected,ColLatestDateCollected,ColDateCollected,site_irn,LocElevationASLFromMt,LocElevationASLToMt,LocElevationASLFromFt,LocElevationASLToFt,PolLocality,PolPD1,PolPD2,PolPD3,LatPreferredCentroidLatDec,LatPreferredCentroidLatitude,LatPreferredCentroidLongDec,LatPreferredCentroidLongitude,site_parent_irn,taxon_1_IdeTaxonRef_key,taxon_1_taxon_irn,taxon_1_taxon_parent_irn,taxon_2_IdeTaxonRef_key,taxon_2_taxon_irn,taxon_2_taxon_parent_irn,taxon_3_IdeTaxonRef_key,taxon_3_taxon_irn,taxon_3_taxon_parent_irn,col_1_ColCollectorRef_key,col_1_Collector_irn,col_1_NamFullName,col_1_NamBriefName,col_1_NamFirst,col_1_NamMiddle,col_1_NamLast,col_1_NamPartyType,col_1_NamSource,col_1_NamExternalReferences_tab,col_1_NamOrganisationOtherNames_tab,col_1_NamOtherNames_tab,col_1_NamRoles_tab,col_2_ColCollectorRef_key,col_2_Collector_irn,col_2_NamFullName,col_2_NamBriefName,col_2_NamFirst,col_2_NamMiddle,col_2_NamLast,col_2_NamPartyType,col_2_NamSource,col_2_NamExternalReferences_tab,col_2_NamOrganisationOtherNames_tab,col_2_NamOtherNames_tab,col_2_NamRoles_tab,col_3_ColCollectorRef_key,col_3_Collector_irn,col_3_NamFullName,col_3_NamBriefName,col_3_NamFirst,col_3_NamMiddle,col_3_NamLast,col_3_NamPartyType,col_3_NamSource,col_3_NamExternalReferences_tab,col_3_NamOrganisationOtherNames_tab,col_3_NamOtherNames_tab,col_3_NamRoles_tab,col_4_ColCollectorRef_key,col_4_Collector_irn,col_4_NamFullName,col_4_NamBriefName,col_4_NamFirst,col_4_NamMiddle,col_4_NamLast,col_4_NamPartyType,col_4_NamSource,col_4_NamExternalReferences_tab,col_4_NamOrganisationOtherNames_tab,col_4_NamOtherNames_tab,col_4_NamRoles_tab,col_5_ColCollectorRef_key,col_5_Collector_irn,col_5_NamFullName,col_5_NamBriefName,col_5_NamFirst,col_5_NamMiddle,col_5_NamLast,col_5_NamPartyType,col_5_NamSource,col_5_NamExternalReferences_tab,col_5_NamOrganisationOtherNames_tab,col_5_NamOtherNames_tab,col_5_NamRoles_tab
864,http://fm-digital-assets.fieldmuseum.org/470/951/24376.jpg,210466,,,,Dalechampia,morifolia,,,,4336,,,,4580,,,,,Paraguay,Paraguay,,,-23.2025,23  12 09 S,-58.1689,58 10 08 W,22205,881.0,23791.0,23742.0,,,,,,,893.0,83280.0,Dr. Emil Hassler,E. Hassler,Emil,,Hassler,Person,Botany Master,ASA Botanist ID 102946 | 107880,,"Émile Hassler
Emilio Hassler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,http://fm-digital-assets.fieldmuseum.org/24/913/3315.jpg,231382,,,,Prunus,ligustrina,,,,,,,,4580,,,,,Paraguay,Paraguay,,,-23.2025,23  12 09 S,-58.1689,58 10 08 W,22205,882.0,63648.0,103664.0,,,,,,,894.0,3740.0,Hagenbeck,Hagenbeck,,,Hagenbeck,Person,Botany Pilot Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,http://fm-digital-assets.fieldmuseum.org/36/280/3318.jpg,231389,,,,Prunus,oxyphylla,,,,2380a,1876-04-10,,,4580,,,,,Paraguay,Paraguay,,,-23.2025,23  12 09 S,-58.1689,58 10 08 W,22205,883.0,63660.0,103664.0,,,,,,,895.0,17590.0,Benedict Balansa,B. Balansa,Benedict,,Balansa,Person,Botany Master,ASA Botanist ID 145946,,Benjamin Balansa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,http://fm-digital-assets.fieldmuseum.org/1257/271/31350.jpg,231393,,,,Prunus,pleifolia,,,,10194,,,1907-1908,4580,,,,,Paraguay,Paraguay,,,-23.2025,23  12 09 S,-58.1689,58 10 08 W,22205,884.0,63667.0,103664.0,,,,,,,896.0,83280.0,Dr. Emil Hassler,E. Hassler,Emil,,Hassler,Person,Botany Master,ASA Botanist ID 102946 | 107880,,"Émile Hassler
Emilio Hassler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,http://fm-digital-assets.fieldmuseum.org/279/752/19239.jpg,235734,,,,Simaba,praecox,,,,9497,,,,4580,,,,,Paraguay,Paraguay,,,-23.2025,23  12 09 S,-58.1689,58 10 08 W,22205,885.0,71937.0,71918.0,,,,,,,897.0,83280.0,Dr. Emil Hassler,E. Hassler,Emil,,Hassler,Person,Botany Master,ASA Botanist ID 102946 | 107880,,"Émile Hassler
Emilio Hassler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,http://fm-digital-assets.fieldmuseum.org/1583/882/26832.jpg,234293,,,,Schultesia,hassleriana,,,,8495,,,1901-1902,4580,,,,,Paraguay,Paraguay,,,-23.2025,23  12 09 S,-58.1689,58 10 08 W,22205,886.0,69631.0,69625.0,,,,,,,898.0,83280.0,Dr. Emil Hassler,E. Hassler,Emil,,Hassler,Person,Botany Master,ASA Botanist ID 102946 | 107880,,"Émile Hassler
Emilio Hassler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,,209803,,,,Cucurbitella,integrifolia,,,,1112,1877,,,4580,,,,,Paraguay,Paraguay,,,-23.2025,23  12 09 S,-58.1689,58 10 08 W,22205,887.0,22297.0,22295.0,,,,,,,899.0,17590.0,Benedict Balansa,B. Balansa,Benedict,,Balansa,Person,Botany Master,ASA Botanist ID 145946,,Benjamin Balansa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,,209654,,,,Croton,tenuissimus,,,,612,,,,4580,,,,,Paraguay,Paraguay,,,-23.2025,23  12 09 S,-58.1689,58 10 08 W,22205,888.0,22031.0,89693.0,,,,,,,900.0,31832.0,Friedrich W. H. A. von Humboldt,F. W. H. A. von Humboldt,Friedrich,Wilhelm Heinrich Alexander,von Humboldt,Person,Botany Master,ASA Botanist ID 101745,,,Collector (Botany),901.0,12996.0,Aimé J. A. Bonpland,A. J. A. Bonpland,Aimé,Jacques Alexandre,Bonpland,Person,Botany Master,ASA Botanist ID 100779,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,http://fm-digital-assets.fieldmuseum.org/1616/934/27128.jpg,210112,,,,Cyclanthera,australis,,,,1110,1874-04-,,,4580,,,,,Paraguay,Paraguay,,,-23.2025,23  12 09 S,-58.1689,58 10 08 W,22205,889.0,22961.0,88480.0,,,,,,,902.0,17590.0,Benedict Balansa,B. Balansa,Benedict,,Balansa,Person,Botany Master,ASA Botanist ID 145946,,Benjamin Balansa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,http://fm-digital-assets.fieldmuseum.org/35/068/8982.jpg,222989,,,,Melothria,candolleana,,,,,1879-01-28,,,4580,,,,,Paraguay,Paraguay,,,-23.2025,23  12 09 S,-58.1689,58 10 08 W,22205,890.0,47492.0,285140.0,,,,,,,903.0,62561.0,Paul (Pablo) G. Lorentz,P. G. Lorentz,Paul (Pablo),Günther,Lorentz,Person,Botany Master,ASA Botanist ID 100771 | 135786,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
