ecatalogue_key,DarImageURL,catalog_irn,ObjEcode,ObjObjectNumber,IdeFiledAsFamilyNumber,DarGenus,DarSpecies,DarSubspecies,DarInfraspecificEpithet,DarInfraspecificRank,ColCollectionNumber,ColEarliestDateCollected,ColLatestDateCollected,ColDateCollected,site_irn,LocElevationASLFromMt,LocElevationASLToMt,LocElevationASLFromFt,LocElevationASLToFt,PolLocality,PolPD1,PolPD2,PolPD3,LatPreferredCentroidLatDec,LatPreferredCentroidLatitude,LatPreferredCentroidLongDec,LatPreferredCentroidLongitude,site_parent_irn,taxon_1_IdeTaxonRef_key,taxon_1_taxon_irn,taxon_1_taxon_parent_irn,col_1_ColCollectorRef_key,col_1_Collector_irn,col_1_NamFullName,col_1_NamBriefName,col_1_NamFirst,col_1_NamMiddle,col_1_NamLast,col_1_NamPartyType,col_1_NamSource,col_1_NamExternalReferences_tab,col_1_NamOrganisationOtherNames_tab,col_1_NamOtherNames_tab,col_1_NamRoles_tab,col_2_ColCollectorRef_key,col_2_Collector_irn,col_2_NamFullName,col_2_NamBriefName,col_2_NamFirst,col_2_NamMiddle,col_2_NamLast,col_2_NamPartyType,col_2_NamSource,col_2_NamExternalReferences_tab,col_2_NamOrganisationOtherNames_tab,col_2_NamOtherNames_tab,col_2_NamRoles_tab
17,http://fm-digital-assets.fieldmuseum.org/55/429/V0054908F.jpg,256341,V0054908F,2013578.0,,Ipomoea,praematura,,,,2525,1983-01-20,,,3486,,,,,,Grenada,,,,,,,21091,17.0,39604.0,87721.0,17.0,43432.0,James E. Eckenwalder,J. E. Eckenwalder,James,E.,Eckenwalder,Person,Botany Master,,,J. Eckenwalder,,,,,,,,,,,,,,
18,,251110,,,,Erythroxylum,oxycarpum,,,,1778,1905-05-03,,,3486,,,,,,Grenada,,,,,,,21091,18.0,28684.0,89651.0,18.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
19,http://fm-digital-assets.fieldmuseum.org/56/349/V0055605F.jpg,251108,V0055605F,176359.0,,Erythroxylum,oxycarpum,,,,1778,1905-05-03,,,231850,,,,,Mount Helicon near St. George's,Grenada,,,,,,,21091,19.0,28684.0,89651.0,19.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
20,,251109,,,,Erythroxylum,oxycarpum,,,,1778,1905-05-03,,,231850,,,,,Mount Helicon near St. George's,Grenada,,,,,,,21091,20.0,28684.0,89651.0,20.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
21,,257862,,,,Lonchocarpus,broadwayi,,,,1511,1895-05-02,,,3486,,,,,,Grenada,,,,,,,21091,21.0,43757.0,90302.0,21.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
22,,208551,,184550.0,,Basanacantha,spinosa,,,,,,,,3486,,,,,,Grenada,,,,,,,21091,22.0,8976.0,283225.0,22.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
23,,207521,,,,Passiflora,,,,,,,,,3486,,,,,,Grenada,,,,,,,21091,23.0,98884.0,98903.0,23.0,8201.0,Palmer,Palmer,,,Palmer,Person,Botany Master,,,Palmer,,,,,,,,,,,,,,
24,http://fm-digital-assets.fieldmuseum.org/143/652/V0063950F.jpg,148431,V0063950F,939478.0,,Rhexia,reticulata,,,,s.n.,,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,24.0,114167.0,286092.0,24.0,12996.0,Aimé J. A. Bonpland,A. J. A. Bonpland,Aimé,Jacques Alexandre,Bonpland,Person,Botany Master,ASA Botanist ID 100779,,,Collector (Botany),,,,,,,,,,,,,
25,http://fm-digital-assets.fieldmuseum.org/45/325/V0046446F.jpg,345051,V0046446F,190818.0,,Pleurothallis,broadwayi,,,,1846,1906-03-,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,25.0,118890.0,61783.0,25.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
26,http://fm-digital-assets.fieldmuseum.org/227/747/V0075721F.jpg,153991,V0075721F,142440.0,,Hemitelia,bullata,,,,6035,,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,26.0,242772.0,88513.0,26.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,
27,http://fm-digital-assets.fieldmuseum.org/221/031/V0067554F.jpg,355780,V0067554F,175891.0,,Coccoloba,novogranatensis,,,,1760,1905-04-08,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,27.0,19202.0,19128.0,27.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
28,http://fm-digital-assets.fieldmuseum.org/221/030/V0067553F.jpg,355781,V0067553F,189166.0,,Coccoloba,novogranatensis,,,,1760,1905-04-08,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,28.0,19202.0,19128.0,28.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
29,http://fm-digital-assets.fieldmuseum.org/1841/299/C0557316F.jpg,3978830,C0557316F,175952.0,,Polypodium,incanum,,,,s.n.,1905-03-10,,,3486,,,,,,Grenada,,,,,,,21091,29.0,596439.0,101053.0,29.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
30,http://fm-digital-assets.fieldmuseum.org/1996/435/C0384781F.jpg,4124966,C0384781F,179550.0,,Selaginella,flabellata,,,,"s,n,",1905-07-,,,3486,,,,,,Grenada,,,,,,,21091,30.0,622827.0,104651.0,30.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
