ecatalogue_key,DarImageURL,catalog_irn,ObjEcode,ObjObjectNumber,IdeFiledAsFamilyNumber,DarGenus,DarSpecies,DarSubspecies,DarInfraspecificEpithet,DarInfraspecificRank,ColCollectionNumber,ColEarliestDateCollected,ColLatestDateCollected,ColDateCollected,site_irn,LocElevationASLFromMt,LocElevationASLToMt,LocElevationASLFromFt,LocElevationASLToFt,PolLocality,PolPD1,PolPD2,PolPD3,LatPreferredCentroidLatDec,LatPreferredCentroidLatitude,LatPreferredCentroidLongDec,LatPreferredCentroidLongitude,site_parent_irn,taxon_1_IdeTaxonRef_key,taxon_1_taxon_irn,taxon_1_taxon_parent_irn,col_1_ColCollectorRef_key,col_1_Collector_irn,col_1_NamFullName,col_1_NamBriefName,col_1_NamFirst,col_1_NamMiddle,col_1_NamLast,col_1_NamPartyType,col_1_NamSource,col_1_NamExternalReferences_tab,col_1_NamOrganisationOtherNames_tab,col_1_NamOtherNames_tab,col_1_NamRoles_tab,col_2_ColCollectorRef_key,col_2_Collector_irn,col_2_NamFullName,col_2_NamBriefName,col_2_NamFirst,col_2_NamMiddle,col_2_NamLast,col_2_NamPartyType,col_2_NamSource,col_2_NamExternalReferences_tab,col_2_NamOrganisationOtherNames_tab,col_2_NamOtherNames_tab,col_2_NamRoles_tab
57,http://fm-digital-assets.fieldmuseum.org/2129/927/V0484062F.jpg,4184883,V0484062F,1474311.0,,Piper,dilatatum,,,,1237,1945-09-27,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,57.0,60056.0,100400.0,54.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,
58,http://fm-digital-assets.fieldmuseum.org/2129/928/V0484063F.jpg,4184885,V0484063F,157257.0,,Piper,dilatatum,,,,6015,1889-11-27,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,58.0,60056.0,100400.0,55.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,
59,http://fm-digital-assets.fieldmuseum.org/2129/929/V0484064F.jpg,4184886,V0484064F,175783.0,,Piper,dilatatum,,,,,1904-11-,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,59.0,60056.0,100400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
60,http://fm-digital-assets.fieldmuseum.org/2130/094/V0484229F.jpg,4196637,V0484229F,175953.0,,Piper,peltatum,,,,,1905-03-05,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,60.0,60483.0,100400.0,56.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
61,http://fm-digital-assets.fieldmuseum.org/2130/099/V0484234F.jpg,4196672,V0484234F,1474286.0,,Piper,peltatum,,,,1306,1945-10-18,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,61.0,60483.0,100400.0,57.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,
62,http://fm-digital-assets.fieldmuseum.org/2125/954/V0484345F.jpg,4198753,V0484345F,175976.0,,Kalanchoe,pinnata,,,,,1905-03-05,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,62.0,40885.0,284732.0,58.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
63,http://fm-digital-assets.fieldmuseum.org/2126/571/V0484696F.jpg,4212247,V0484696F,179534.0,,Plumeria,rubra,,,,1799,1905-04-11,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,63.0,62035.0,62007.0,59.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
64,http://fm-digital-assets.fieldmuseum.org/2126/802/V0484793F.jpg,4219633,V0484793F,176395.0,,Rauvolfia,viridis,,,,05051905,1905-05-05,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,64.0,579282.0,65818.0,60.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
65,http://fm-digital-assets.fieldmuseum.org/2126/803/V0484794F.jpg,4219635,V0484794F,1500504.0,,Rauvolfia,viridis,,,,2236,1958-08-12,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,65.0,579282.0,65818.0,61.0,1537.0,Jonathan D. Sauer,J. D. Sauer,Jonathan,Deininger,Sauer,Person,Botany Master; IPNI 8947-1,,,,,,,,,,,,,,,,,
66,http://fm-digital-assets.fieldmuseum.org/2126/808/V0484799F.jpg,4219646,V0484799F,1523703.0,,Rauvolfia,viridis,,,,1201,1945-09-15,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,66.0,579282.0,65818.0,62.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,
67,http://fm-digital-assets.fieldmuseum.org/2126/862/V0484845F.jpg,4220789,V0484845F,179570.0,,Rhabdadenia,biflora,,,,,1905-07-,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,67.0,66101.0,286080.0,63.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
68,http://fm-digital-assets.fieldmuseum.org/2187/724/V0484880F.jpg,4220935,V0484880F,175954.0,,Tabernaemontana,citrifolia,,,,,1905-03-05,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,68.0,76561.0,84287.0,64.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
69,http://fm-digital-assets.fieldmuseum.org/2187/725/V0484881F.jpg,4220945,V0484881F,1474231.0,,Tabernaemontana,citrifolia,,,,1291,1945-10-09,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,69.0,76561.0,84287.0,65.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,
70,http://fm-digital-assets.fieldmuseum.org/2187/763/V0484919F.jpg,4230786,V0484919F,175900.0,,Cascabela,thevetia,,,,,1905-03-15,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,70.0,699131.0,699130.0,66.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
71,http://fm-digital-assets.fieldmuseum.org/2187/886/V0485037F.jpg,4236824,V0485037F,175714.0,,Asclepias,curassavica,,,,,1904-12-13,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,71.0,6803.0,84644.0,,,,,,,,,,,,,,,,,,,,,,,,,,
72,http://fm-digital-assets.fieldmuseum.org/2189/941/V0485239F.jpg,4310235,V0485239F,175920.0,,Metastelma,broadwayi,,,,,1905-04-04,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,72.0,711478.0,84652.0,67.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
73,http://fm-digital-assets.fieldmuseum.org/2189/876/V0485183F.jpg,4310180,V0485183F,1702839.0,,Matelea,denticulata,,,,17225,1957-11-24,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,73.0,46738.0,84649.0,68.0,568.0,George R. Proctor,G. R. Proctor,George,Richardson,Proctor,Person,Botany Master,ASA Botanist ID 101316,,,,,,,,,,,,,,,,
74,,3933117,V0456818F,1474266.0,,Peperomia,glabella,,,,1256,1945-10-02,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,74.0,57076.0,56868.0,69.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,
75,,3933118,V0456819F,185009.0,,Peperomia,glabella,,,,,1905-11-18,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,75.0,57076.0,56868.0,70.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
76,,3933153,V0456860F,175962.0,,Peperomia,hernandiifolia,,,,,1905-03-22,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,76.0,57094.0,56868.0,71.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
77,,3933154,V0457060F,1474307.0,,Peperomia,hernandiifolia,,,,1240,1945-09-28,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,77.0,57094.0,56868.0,72.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,
78,,3933240,V0456906F,1474239.0,,Peperomia,obtusifolia,,,,1264,1945-10-04,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,78.0,57203.0,56868.0,73.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,
79,,3933368,V0456738F,176393.0,,Peperomia,,,,,,1905-05-02,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,79.0,56868.0,100438.0,74.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
80,,3933370,V0457059F,1474263.0,,Peperomia,,,,,1321,1945-10-23,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,80.0,56868.0,100438.0,75.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,
81,http://fm-digital-assets.fieldmuseum.org/1958/256/V0475207F.jpg,3953290,V0475207F,175958.0,,Acalypha,cuspidata,,,,,1905-03-27,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,81.0,74921.0,89675.0,76.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
82,http://fm-digital-assets.fieldmuseum.org/1958/374/V0475329F.jpg,3953434,V0475329F,1775268.0,,Acalypha,,,,,,1951-07-15,1951-07-25,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,82.0,89675.0,89741.0,77.0,52863.0,Léon C. M. Croizat,Leon Croizat,Léon,Camille Marius,Croizat,Person,Botany Master,ASA Botanist ID 100081,,L. Croizat,Collector (Botany),,,,,,,,,,,,,
83,http://fm-digital-assets.fieldmuseum.org/1958/375/V0475330F.jpg,3953435,V0475330F,1775270.0,,Acalypha,,,,,,1951-07-15,1951-07-25,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,83.0,89675.0,89741.0,78.0,52863.0,Léon C. M. Croizat,Leon Croizat,Léon,Camille Marius,Croizat,Person,Botany Master,ASA Botanist ID 100081,,L. Croizat,Collector (Botany),,,,,,,,,,,,,
84,http://fm-digital-assets.fieldmuseum.org/1958/376/V0475331F.jpg,3953436,V0475331F,1775272.0,,Acalypha,,,,,,1951-07-15,1951-07-25,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,84.0,89675.0,89741.0,79.0,52863.0,Léon C. M. Croizat,Leon Croizat,Léon,Camille Marius,Croizat,Person,Botany Master,ASA Botanist ID 100081,,L. Croizat,Collector (Botany),,,,,,,,,,,,,
85,http://fm-digital-assets.fieldmuseum.org/1966/006/V0475621F.jpg,3954439,V0475621F,175917.0,,Adelia,ricinella,,,,1764,1905-04-09,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,85.0,207905.0,208896.0,80.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
86,http://fm-digital-assets.fieldmuseum.org/2243/566/V0476581F.jpg,3958532,V0476581F,175993.0,,Bernardia,corensis,,,,,1905-03-27,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,86.0,682672.0,283257.0,81.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
87,http://fm-digital-assets.fieldmuseum.org/1984/052/V0477078F.jpg,3960141,V0477078F,184497.0,,Cnidoscolus,urens,,,,,1905-10-,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,87.0,19091.0,19072.0,82.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
88,http://fm-digital-assets.fieldmuseum.org/1984/053/V0477079F.jpg,3960142,V0477079F,1474298.0,,Cnidoscolus,,,,,1247,1945-09-30,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,88.0,19072.0,89741.0,83.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,
89,http://fm-digital-assets.fieldmuseum.org/2109/388/V0496098F.jpg,4000567,V0496098F,1739380.0,,Croton,lobatus,,,,,1951-07-15,1951-07-25,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,89.0,21784.0,89693.0,84.0,52863.0,Léon C. M. Croizat,Leon Croizat,Léon,Camille Marius,Croizat,Person,Botany Master,ASA Botanist ID 100081,,L. Croizat,Collector (Botany),,,,,,,,,,,,,
90,http://fm-digital-assets.fieldmuseum.org/2109/523/V0496400F.jpg,4003699,V0496400F,549941.0,,Croton,hircinus,,,,,1905-05-01,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,90.0,21726.0,89693.0,85.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
91,http://fm-digital-assets.fieldmuseum.org/2109/625/V0496476F.jpg,4006981,V0496476F,1775269.0,,Croton,,,,,,1951-07-15,1951-07-25,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,91.0,89693.0,89741.0,86.0,52863.0,Léon C. M. Croizat,Leon Croizat,Léon,Camille Marius,Croizat,Person,Botany Master,ASA Botanist ID 100081,,L. Croizat,Collector (Botany),,,,,,,,,,,,,
92,http://fm-digital-assets.fieldmuseum.org/2109/626/V0496477F.jpg,4006983,V0496477F,1739383.0,,Croton,,,,,,1951-07-15,1951-07-25,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,92.0,89693.0,89741.0,87.0,52863.0,Léon C. M. Croizat,Leon Croizat,Léon,Camille Marius,Croizat,Person,Botany Master,ASA Botanist ID 100081,,L. Croizat,Collector (Botany),,,,,,,,,,,,,
93,http://fm-digital-assets.fieldmuseum.org/1874/753/V0493532F.jpg,4009479,V0493532F,190843.0,,Aechmea,smithiorum,,smithiorum,Variety,,1906-04-14,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,93.0,686570.0,686569.0,88.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
94,http://fm-digital-assets.fieldmuseum.org/1889/138/V0509564F.jpg,4014611,V0509564F,249166.0,,Euphorbia,heterophylla,,,,,1906-09-26,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,94.0,30717.0,89707.0,89.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
95,http://fm-digital-assets.fieldmuseum.org/1889/139/V0509565F.jpg,4014612,V0509565F,249167.0,,Euphorbia,heterophylla,,,,,1906-09-,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,95.0,30717.0,89707.0,90.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
96,http://fm-digital-assets.fieldmuseum.org/1889/140/V0509566F.jpg,4014613,V0509566F,249165.0,,Euphorbia,heterophylla,,,,,1906-09-26,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,96.0,30717.0,89707.0,91.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
97,http://fm-digital-assets.fieldmuseum.org/1892/072/V0514006F.jpg,4020255,V0514006F,190842.0,,Aechmea,aquilega,,,,,1908-04-14,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,97.0,2632.0,2625.0,92.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
98,http://fm-digital-assets.fieldmuseum.org/1890/548/V0509667F.jpg,4020817,V0509667F,249164.0,,Euphorbia,hirta,,,,,1906-09-26,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,98.0,30722.0,89707.0,93.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
99,http://fm-digital-assets.fieldmuseum.org/1890/549/V0509668F.jpg,4020818,V0509668F,175746.0,,Euphorbia,hirta,,,,,1904-10-,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,99.0,30722.0,89707.0,94.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
100,http://fm-digital-assets.fieldmuseum.org/1890/838/V0509769F.jpg,4028938,V0509769F,249157.0,,Euphorbia,hypericifolia,,,,,1906-09-29,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,100.0,30730.0,89707.0,95.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
101,http://fm-digital-assets.fieldmuseum.org/1890/936/V0509957F.jpg,4029317,V0509957F,196183.0,,Euphorbia,hyssopifolia,,,,,,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,101.0,30732.0,89707.0,96.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
102,http://fm-digital-assets.fieldmuseum.org/1890/937/V0509958F.jpg|http://fm-digital-assets.fieldmuseum.org/1898/305/V0509958F.jpg,4029319,V0509958F,175748.0,,Euphorbia,hyssopifolia,,,,,1904-11-,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,102.0,30732.0,89707.0,97.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
103,http://fm-digital-assets.fieldmuseum.org/1890/938/V0509959F.jpg,4029320,V0509959F,249158.0,,Euphorbia,hyssopifolia,,,,,1906-09-29,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,103.0,30732.0,89707.0,98.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
104,http://fm-digital-assets.fieldmuseum.org/1892/313/V0514248F.jpg,4029917,V0514248F,192584.0,,Guzmania,lingulata,,,,,1906-07-16,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,104.0,35160.0,86123.0,99.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
105,http://fm-digital-assets.fieldmuseum.org/1992/427/V0511196F.jpg,4029997,V0511196F,1739379.0,,Euphorbia,mesembryanthemifolia,,,,,1951-07-15,1951-07-25,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,105.0,553018.0,89707.0,100.0,52863.0,Léon C. M. Croizat,Leon Croizat,Léon,Camille Marius,Croizat,Person,Botany Master,ASA Botanist ID 100081,,L. Croizat,Collector (Botany),,,,,,,,,,,,,
106,http://fm-digital-assets.fieldmuseum.org/1992/429/V0511197F.jpg,4029998,V0511197F,175618.0,,Euphorbia,mesembryanthemifolia,,,,,1905-02-,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,106.0,553018.0,89707.0,101.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
107,http://fm-digital-assets.fieldmuseum.org/1992/430/V0511198F.jpg,4029999,V0511198F,1523702.0,,Euphorbia,mesembryanthemifolia,,,,1222,1945-09-23,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,107.0,553018.0,89707.0,102.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,
108,http://fm-digital-assets.fieldmuseum.org/1992/431/V0511199F.jpg,4030000,V0511199F,249154.0,,Euphorbia,mesembryanthemifolia,,,,2518,1906-04-16,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,108.0,553018.0,89707.0,103.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
109,http://fm-digital-assets.fieldmuseum.org/1898/482/V0511515F.jpg,4035198,V0511515F,249160.0,,Euphorbia,thymifolia,,,,,1906-09-28,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,109.0,208057.0,89707.0,104.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
110,http://fm-digital-assets.fieldmuseum.org/1898/483/V0511516F.jpg,4035202,V0511516F,175747.0,,Euphorbia,thymifolia,,,,,1904-12-26,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,110.0,208057.0,89707.0,105.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
111,http://fm-digital-assets.fieldmuseum.org/1898/485/V0511518F.jpg,4035204,V0511518F,549939.0,,Euphorbia,thymifolia,,,,6170,1906-09-28,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,111.0,208057.0,89707.0,106.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
112,http://fm-digital-assets.fieldmuseum.org/1898/541/V0511574F.jpg,4035283,V0511574F,249146.0,,Euphorbia,serpens,,,,1865,1906-04-13,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,112.0,30887.0,89707.0,107.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
113,http://fm-digital-assets.fieldmuseum.org/1898/542/V0511575F.jpg,4035284,V0511575F,549934.0,,Euphorbia,serpens,,,,1865,,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,113.0,30887.0,89707.0,108.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
114,http://fm-digital-assets.fieldmuseum.org/1910/869/V0511854F.jpg,4036765,V0511854F,179573.0,,Hura,crepitans,,,,,1905-07-22,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,114.0,37688.0,37687.0,109.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
115,http://fm-digital-assets.fieldmuseum.org/1899/205/V0511869F.jpg,4036799,V0511869F,1523711.0,,Hippomane,mancinella,,,,1220,1945-09-23,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,115.0,37184.0,37183.0,110.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,
116,http://fm-digital-assets.fieldmuseum.org/1899/213/V0511895F.jpg,4036800,V0511895F,175652.0,,Hippomane,mancinella,,,,,1905-01-10,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,116.0,37184.0,37183.0,111.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
117,http://fm-digital-assets.fieldmuseum.org/1911/258/V0513187F.jpg,4041299,V0513187F,184561.0,,Jatropha,curcas,,,,,1905-07-,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,117.0,40335.0,89714.0,112.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
