Image_URL,Barcode,Multimedia_IRN,Taxon,Taxon_IRN,HUH_BotanistID_1,HUH_UUID_1,collectorName1,verbatimCollector1,HUH_BotanistID_2,HUH_GUID_2,collectorName2,verbatimCollector2,HUH_BotanistID_3,HUH_GUID_3,collectorName3,verbatimCollector3,HUH_BotanistID_4,HUH_GUID_4,collectorName4,verbatimCollector4,HUH_BotanistID_5,HUH_GUID_5,collectorName5,verbatimCollector5,CollectionNumber,CatologueNumber,minimumDate,maximumDate,verbatimCollectionDate,Year,Year_Validation,primary_master_irn,HUH_BotanistID_1,HUH_UUID_1,collectorName1,verbatimCollector1,primary_master_name,primary_score,secondary_2_master_irn,HUH_BotanistID_2,HUH_GUID_2,collectorName2,verbatimCollector2,secondary_2_master_name,secondary_2_score,secondary_3_master_irn,HUH_BotanistID_3,HUH_GUID_3,collectorName3,verbatimCollector3,secondary_3_master_name,secondary_3_score,secondary_4_master_irn,HUH_BotanistID_4,HUH_GUID_4,collectorName4,verbatimCollector4,secondary_4_master_name,secondary_4_score,secondary_5_master_irn,HUH_BotanistID_5,HUH_GUID_5,collectorName5,verbatimCollector5,secondary_5_master_name,secondary_5_score,Locality_IRN,countryName,stateProvinceTerritory,municipality,preciseLocality,latitudeDMS,longitudeDMS,latitudeDecimalDegrees,longitudeDecimalDegrees,altitudeMin,altitudeMax,altitudeUnits,Habitat,PlantDescription
http://fm-digital-assets.fieldmuseum.org/649/895/V0178026F.jpg,V0178026F,649895,Adiscanthus fusciflorus,2621,107398,33066f1b-434a-4c85-87c4-85c62fa7c273,"Rimachi Y., Manuel",Manuel Rimachi Y.,,,,,,,,,,,,,,,,,3758,1937721,20 Jul 1978,s.d.,"July 20, 1978",1978,Valid|DateRange_Match,54956,107398,33066f1b-434a-4c85-87c4-85c62fa7c273,"Rimachi Y., Manuel",Manuel Rimachi Y.,,Name|ID|Country|Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14583,Peru,Loreto,,"Maynas: Dtto. Iquitos. Río Nanay, Carretera de Picuruyacu",,,,,,,,Sandy uplands,"3 m, fr. brown"
http://fm-digital-assets.fieldmuseum.org/638/655/V0180202F.jpg,V0180202F,638655,Adelobotrys intonsus,2355,147643,275b6b8f-2930-4447-a4e8-8c6454b6b046,"Revilla, Juan",Juan Revilla,,,,,,,,,,,,,,,,,3119,2312318,00 000 1977,s.d.,1977,1977,Valid|DateRange_Match,47500,147643,275b6b8f-2930-4447-a4e8-8c6454b6b046,"Revilla, Juan",Juan Revilla,,Name|ID|Country|Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14583,Peru,Loreto,,Maynas; Vicinity of Iquitos.,03 44 53 S,073 14 50 W,,,,,,,
http://fm-digital-assets.fieldmuseum.org/679/549/V0190349F.jpg,V0190349F,679549,Acalypha stricta,1913,,,,D.B. Ekkens,,,,,,,,,,,,,,,,,s.n.,,11 Aug 1970,s.d.,11 Aug 1970,1970,Valid|DateRange_Match,208550,,,,D.B. Ekkens,,Name|Country|Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14627,Peru,Pasco,,"Prov. Oxapampa, Pto. Bermudez, Santa Isabella; Neawachi River",,,,,1500.0,,Feet,Sandy river banks. Bordering Tropical Rain Forest,Erect plant
http://fm-digital-assets.fieldmuseum.org/668/071/V0201800F.jpg,V0201800F,668071,Adenaria floribunda,2368,126335,12ce03eb-16ce-4db8-969f-177d1f727f2e,"Belshaw, Charles M.",Charles M. Belshaw,,,,,,,,,,,,,,,,,3380,1680370,08 Sep 1937,09 Sep 1937,8-9 September 1937,1937,Valid|DateRange_Match,21360,126335,12ce03eb-16ce-4db8-969f-177d1f727f2e,"Belshaw, Charles M.",Charles M. Belshaw,,Name|ID|Country|Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15591,Peru,San Martin,,Province Lamas; District Lamas; East of Tabalosos 1-2 km.,,,,,1800.0,,Feet,In wet places in full sunlight,"Shrub 12 feet tall, with many small trunks. Petals white, crisped; style and ovary orange; sweet-scented"
http://fm-digital-assets.fieldmuseum.org/725/741/V0218948F.jpg,V0218948F,725741,Adelphia macrophylla,unlisted,132033,6e1aaad1-37c1-4735-a9df-1de6b5c1ed1d,"Schunke Vigo, José",José Schunke Vigo,,,,,,,,,,,,,,,,,8609,2302618,25 May 1975,s.d.,25 Mayo 1975,1975,Valid|DateRange_Match,47225,132033,6e1aaad1-37c1-4735-a9df-1de6b5c1ed1d,"Schunke Vigo, José",José Schunke Vigo,,Name|ID|Country|Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15591,Peru,San Martín,,Mariscal Caceres; Distrito Tocache Nuevo. Vicinity around Tocache.,,,,,400.0,700.0,Metres,,
http://fm-digital-assets.fieldmuseum.org/736/798/V0224851F.jpg,V0224851F,736798,Abutilon arboreum,564053,,,,,,,,,,,,,,,,,,,,,s.n.,843111,s.d.,s.d.,s.d.,,No_Year_Or_Match,,,,,,,NONAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[unknown],[unknown],,,,,,,,,,,
http://fm-digital-assets.fieldmuseum.org/737/128/V0225181F.jpg,V0225181F,737128,Abutilon umbellatum,1488,101939,c9b740ae-74b5-45bf-b058-9baad9b5d3a8,"Macbride, James Francis",J. Francis Macbride,,,,,,,,,,,,,,,,,3493,534567,25 Apr 1923,s.d.,"April 25, 1923",1923,Valid|DateRange_Match,43463,101939,c9b740ae-74b5-45bf-b058-9baad9b5d3a8,"Macbride, James Francis",J. Francis Macbride,J. F. Macbride,Name|ID|Country|Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12068,Peru,Huanuco,,,,,,,7000.0,,Feet,Street weed,Slender (3-4 ft.) woody below. Fls. deep yellow
http://fm-digital-assets.fieldmuseum.org/739/124/V0240233F.jpg,V0240233F,739124,Hibiscus esculentus,36886,102663,55cdd312-e46c-446c-92a9-7fc44d3f6ce6,"Williams, Llewelyn",Llewelyn Williams,,,,,,,,,,,,,,,,,5045,622526,15 Nov 1929,s.d.,"11/15/1929; Oct.-Nov., 1929",1929,Valid|DateRange_Match,51933,102663,55cdd312-e46c-446c-92a9-7fc44d3f6ce6,"Williams, Llewelyn",Llewelyn Williams,,Name|ID|Country|Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14583,Peru,Loreto,,"Lower Rio Huallaga, Puerto Arturo, Yurimaguas",,,,,155.0,210.0,Metres,Edge of forest,Small shrub
http://fm-digital-assets.fieldmuseum.org/753/130/V0245406F.jpg,V0245406F,753130,Abatia canescens,1224,138245,4afd5cf7-72eb-4894-97e4-a174679d9ce9,"Gentry, Alwyn Howard",A. Gentry,116623,aceccf74-1da2-40f6-b098-21e728f14323,"Dillon, Michael O.",M. Dillon,118538,6e02c747-18c4-4868-9211-6d1d41bf88fa,"Aronson, James",J. Aronson,,,,C. Díaz,,,,,22633,1934417,10 Jun 1978,s.d.,10 June 1978,1978,Valid|DateRange_Match,14382,138245,4afd5cf7-72eb-4894-97e4-a174679d9ce9,"Gentry, Alwyn Howard",A. Gentry,A. H. Gentry,Name|ID|Country|Date|Team,57143,116623,aceccf74-1da2-40f6-b098-21e728f14323,"Dillon, Michael O.",M. Dillon,M. O. Dillon,Name|ID|Country|Date|Team,43198,118538,6e02c747-18c4-4868-9211-6d1d41bf88fa,"Aronson, James",J. Aronson,J. Aronson,Name|Country|Date|Team,19764,,,,C. Díaz,,Name|Country|Date|Team,,,,,,,,14636,Peru,Piura,,38 km E of Olmos on road to Pucara,,,,,1530.0,,Metres,"Premontane dry forest, badly disturbed","Shrub 3 m, flowers yellow"
http://fm-digital-assets.fieldmuseum.org/751/365/V0245442F.jpg,V0245442F,751365,Abatia rugosa,1229,116798,311c8c4b-8113-448e-b44f-a69a7a14047a,"Sawada, Makoto",M. Sawada,,,,,,,,,,,,,,,,,P92,608014,00 000 1927,s.d.,1927,1927,Valid|DateRange_Match,53581,116798,311c8c4b-8113-448e-b44f-a69a7a14047a,"Sawada, Makoto",M. Sawada,,Name|ID|Country|Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4627,Peru,[unknown],,"Prob. Cerro de Pasco [would have to be lower, probably near ? ? in the ? below]",,,,,,,,,
http://fm-digital-assets.fieldmuseum.org/751/375/V0245452F.jpg,V0245452F,751375,Abatia spicata,566127,148753,657bf76b-a0c7-4509-a7fc-4d1b5aecd7c7,"Peyton, Ben",B. Peyton,,,,S. Tinley,,,,,,,,,,,,,675,2235858,28 Jun 1982,s.d.,28 Jun 1982,1982,Valid|DateRange_Match,17572,148753,657bf76b-a0c7-4509-a7fc-4d1b5aecd7c7,"Peyton, Ben",B. Peyton,,Name|Country|Date,,,,,S. Tinley,,NoMatch,,,,,,,,,,,,,,,,,,,,,,12054,Peru,Cuzco,,"Urubamba, Machu Picchu', near the ruin of Huayna Quente, 1.5km downriver along the Urubamba River from km 88 of the Urubamba railroad. Vegetation plot # 100",,,,,2820.0,,Metres,"Humid Low Mt. Subtropical Forest in a stream bottom forest strip, 70 m wide bordered by steppd land on both sides","Tree, ht: 4 m; spike 30 cm long; flower: yellow stamens with numerous yellow filaments surrounding them; leaves with yellow white dense pubescence; powdery bright green stems"
http://fm-digital-assets.fieldmuseum.org/799/686/V0252058F.jpg,V0252058F,799686,Agouticarpa curviflora,286986,147643,275b6b8f-2930-4447-a4e8-8c6454b6b046,"Revilla, Juan",Juan Revilla,,,,,,,,,,,,,,,,,899,1833108,19 Jul 1976,s.d.,19 de Julio 1976,1976,Valid|DateRange_Match,47500,147643,275b6b8f-2930-4447-a4e8-8c6454b6b046,"Revilla, Juan",Juan Revilla,,Name|ID|Country|Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14583,Peru,Loreto,,Provincia: Maynas; Distrito: Pebas; Río Ampiyacu.,,,,,,,,Tahuampa inundable,"Arbol, 4 m., frutos terminales negros"
http://fm-digital-assets.fieldmuseum.org/1433/073/V0315069F.jpg,V0315069F,1433073,Adenocalymma apurense,2371,137066,b3fa2b2f-3469-4db0-8d85-15296efd807f,"Schunke Lopez, José M.",José M. Schunke,,,,,,,,,,,,,,,,,229,997475,12 Feb 1935,s.d.,"Feb. 12, 1935",1935,Valid|DateRange_Match,47336,137066,b3fa2b2f-3469-4db0-8d85-15296efd807f,"Schunke Lopez, José M.",José M. Schunke,,Name|ID|Country|Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14583,Peru,Loreto,,"Gamitanacocha, Rio Mazán",,,,,100.0,125.0,Metres,River bank,Vine; fls. sulphur-yellow. Solitary
http://fm-digital-assets.fieldmuseum.org/1433/245/V0316567F.jpg,V0316567F,1433245,Adenocalymma validum,569433,112743,bafca44c-9ab5-4a4c-a3aa-6c0db8e8b3b9,"Klug, Guillermo",G. Klug,,,,,,,,,,,,,,,,,3878,766363,00 Oct 1934,s.d.,Oct. 1934,1934,Valid|DateRange_Match,35210,112743,bafca44c-9ab5-4a4c-a3aa-6c0db8e8b3b9,"Klug, Guillermo",G. Klug,,Name|Country|Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15591,Peru,San Martín,,Juan Jui. Alto Río Huallaga.,,,,,400.0,,Metres,Forest,"Tree, 1.5 m; flr. yellow"
